league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ESP-La Liga,2022,Almería,Adri Embarba,ESP,"FW,MF",30,1992,16.4,5,1,1,22,30,10,127,9,27,0,0,0,100,8,30,21.1,misc
ESP-La Liga,2022,Almería,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,2,0,0,15,14,1,70,26,19,0,1,0,138,12,23,34.3,misc
ESP-La Liga,2022,Almería,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,4,0,0,10,15,2,18,11,14,0,1,0,36,3,8,27.3,misc
ESP-La Liga,2022,Almería,Chumi,ESP,DF,23,1999,16.5,5,0,0,10,3,0,8,15,16,0,0,0,87,11,12,47.8,misc
ESP-La Liga,2022,Almería,Curro,ESP,MF,26,1996,0.5,1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0.0,misc
ESP-La Liga,2022,Almería,César de la Hoz,ESP,MF,30,1992,18.6,6,0,0,21,12,0,3,13,20,0,1,0,83,24,29,45.3,misc
ESP-La Liga,2022,Almería,Diego Mariño,ESP,GK,32,1990,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Almería,Dyego Sousa,POR,FW,32,1989,5.9,1,0,0,10,12,4,1,1,6,0,0,0,17,27,25,51.9,misc
ESP-La Liga,2022,Almería,El Bilal Touré,MLI,FW,20,2001,14.0,0,0,0,25,7,13,4,1,3,0,0,0,46,44,46,48.9,misc
ESP-La Liga,2022,Almería,Fernando,ESP,GK,32,1990,36.5,3,0,0,0,6,0,0,1,0,0,0,0,35,2,1,66.7,misc
ESP-La Liga,2022,Almería,Fernando Pacheco,ESP,GK,30,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Almería,Francisco Portillo,ESP,"MF,FW",32,1990,8.0,1,0,0,2,3,2,12,7,6,0,0,0,54,5,5,50.0,misc
ESP-La Liga,2022,Almería,Gonzalo Melero,ESP,MF,28,1994,20.6,5,0,0,24,30,3,2,7,16,0,0,0,96,14,17,45.2,misc
ESP-La Liga,2022,Almería,Houboulang Mendes,GNB,DF,24,1998,9.8,2,0,0,13,4,0,31,7,11,0,1,0,37,1,1,50.0,misc
ESP-La Liga,2022,Almería,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,misc
ESP-La Liga,2022,Almería,Kaiky,BRA,DF,18,2004,6.5,5,0,0,7,3,0,1,11,5,0,1,0,22,6,10,37.5,misc
ESP-La Liga,2022,Almería,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,6,0,0,31,15,12,20,15,9,1,1,0,57,5,18,21.7,misc
ESP-La Liga,2022,Almería,Lucas Robertone,ARG,MF,25,1997,31.6,7,0,0,33,89,3,137,46,28,0,0,0,207,20,36,35.7,misc
ESP-La Liga,2022,Almería,Luis Javier Suárez,COL,FW,24,1997,16.6,4,1,0,36,22,5,11,3,11,1,0,0,46,36,55,39.6,misc
ESP-La Liga,2022,Almería,Lázaro,BRA,"FW,MF",20,2002,8.0,1,0,0,7,12,3,9,2,3,0,0,0,32,6,14,30.0,misc
ESP-La Liga,2022,Almería,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,7,0,0,30,23,10,18,19,20,0,0,0,104,27,40,40.3,misc
ESP-La Liga,2022,Almería,Marko Milovanović,SRB,FW,18,2003,0.2,1,0,0,2,0,0,0,0,0,0,0,0,0,5,3,62.5,misc
ESP-La Liga,2022,Almería,Rodrigo Ely,BRA,DF,28,1993,35.1,10,1,1,25,14,2,3,31,21,0,0,1,142,79,38,67.5,misc
ESP-La Liga,2022,Almería,Samu Costa,POR,MF,21,2000,22.1,5,0,0,51,44,4,8,37,31,0,0,0,143,48,24,66.7,misc
ESP-La Liga,2022,Almería,Sergio Akieme,ESP,DF,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3,misc
ESP-La Liga,2022,Almería,Srđan Babić,SRB,DF,26,1996,33.3,5,0,0,24,9,2,2,29,18,0,0,0,136,71,46,60.7,misc
ESP-La Liga,2022,Almería,Umar Sadiq,NGA,FW,25,1997,2.7,1,0,0,9,2,7,0,0,0,0,0,0,8,4,10,28.6,misc
ESP-La Liga,2022,Almería,Álex Centelles,ESP,DF,24,1997,12.5,0,1,0,7,5,0,46,11,14,0,0,0,66,7,17,29.2,misc
ESP-La Liga,2022,Almería,Íñigo Eguaras,ESP,MF,30,1992,10.7,6,0,0,7,8,0,3,6,8,0,0,0,67,3,5,37.5,misc
ESP-La Liga,2022,Athletic Club,Adu Ares,ESP,"FW,MF",20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0,misc
ESP-La Liga,2022,Athletic Club,Aitor Paredes,ESP,DF,22,2000,9.5,3,0,0,12,2,0,2,14,6,0,0,1,59,21,7,75.0,misc
ESP-La Liga,2022,Athletic Club,Ander Capa,ESP,DF,30,1992,1.2,1,0,0,4,0,0,4,0,1,0,0,0,10,4,0,100.0,misc
ESP-La Liga,2022,Athletic Club,Ander Herrera,ESP,MF,32,1989,7.7,4,1,0,20,11,0,7,11,10,0,0,0,53,7,5,58.3,misc
ESP-La Liga,2022,Athletic Club,Asier Villalibre,ESP,FW,24,1997,1.1,0,0,0,3,1,0,0,0,0,0,0,0,2,2,2,50.0,misc
ESP-La Liga,2022,Athletic Club,Dani García,ESP,MF,32,1990,16.5,6,0,0,34,14,0,5,19,27,0,0,0,97,21,17,55.3,misc
ESP-La Liga,2022,Athletic Club,Daniel Vivian,ESP,DF,23,1999,26.4,7,1,0,38,21,2,6,24,32,0,0,0,214,40,55,42.1,misc
ESP-La Liga,2022,Athletic Club,Gorka Guruzeta,ESP,FW,25,1996,15.8,2,0,0,28,14,16,4,4,20,0,0,0,49,29,47,38.2,misc
ESP-La Liga,2022,Athletic Club,Iker Muniain,ESP,"MF,FW",29,1992,18.8,2,0,0,13,62,1,113,4,16,0,0,0,81,3,13,18.8,misc
ESP-La Liga,2022,Athletic Club,Iñaki Williams,GHA,FW,28,1994,31.5,2,0,0,31,31,22,98,7,16,0,0,0,76,32,36,47.1,misc
ESP-La Liga,2022,Athletic Club,Iñigo Lekue,ESP,DF,29,1993,14.7,1,0,0,15,6,1,43,13,17,0,0,0,118,17,8,68.0,misc
ESP-La Liga,2022,Athletic Club,Iñigo Martínez,ESP,DF,31,1991,14.9,1,0,0,13,10,3,5,18,8,0,0,0,92,26,19,57.8,misc
ESP-La Liga,2022,Athletic Club,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,0,0,0,1,1,0,6,1,0,0,0,0,7,1,1,50.0,misc
ESP-La Liga,2022,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,misc
ESP-La Liga,2022,Athletic Club,Mikel Balenziaga,ESP,DF,34,1988,1.3,0,0,0,3,0,0,3,1,4,0,0,0,6,0,0,,misc
ESP-La Liga,2022,Athletic Club,Mikel Vesga,ESP,MF,29,1993,28.6,5,0,0,44,21,0,12,36,35,1,0,1,201,65,48,57.5,misc
ESP-La Liga,2022,Athletic Club,Nico Williams,ESP,FW,20,2002,29.5,3,0,0,23,35,14,174,8,16,1,0,0,147,20,27,42.6,misc
ESP-La Liga,2022,Athletic Club,Oier Zarraga,ESP,MF,23,1999,9.5,5,0,0,17,12,0,29,10,9,0,0,0,56,9,12,42.9,misc
ESP-La Liga,2022,Athletic Club,Oihan Sancet,ESP,MF,22,2000,28.1,6,1,0,41,54,2,17,4,16,0,0,0,140,24,22,52.2,misc
ESP-La Liga,2022,Athletic Club,Raúl García,ESP,"FW,MF",36,1986,10.7,4,0,0,14,19,8,13,6,8,0,0,0,31,40,38,51.3,misc
ESP-La Liga,2022,Athletic Club,Unai Simón,ESP,GK,25,1997,30.5,2,0,0,0,1,0,0,0,0,0,0,0,36,0,0,,misc
ESP-La Liga,2022,Athletic Club,Unai Vencedor Paris,ESP,MF,21,2000,2.1,2,0,0,12,2,0,2,1,1,0,0,0,19,1,0,100.0,misc
ESP-La Liga,2022,Athletic Club,Yeray Álvarez,ESP,DF,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5,misc
ESP-La Liga,2022,Athletic Club,Yuri Berchiche,ESP,DF,32,1990,26.7,9,1,1,31,33,5,66,40,32,1,1,0,173,51,26,66.2,misc
ESP-La Liga,2022,Athletic Club,Álex Berenguer,ESP,FW,27,1995,25.5,2,0,0,48,25,19,162,10,37,0,0,0,114,35,42,45.5,misc
ESP-La Liga,2022,Athletic Club,Óscar de Marcos,ESP,DF,33,1989,31.3,7,0,0,43,16,2,130,29,33,0,0,1,198,25,23,52.1,misc
ESP-La Liga,2022,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,2,0,0,22,41,11,131,24,34,0,0,0,150,28,34,45.2,misc
ESP-La Liga,2022,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33,1989,25.1,2,1,0,20,15,0,2,23,22,0,0,0,119,41,36,53.2,misc
ESP-La Liga,2022,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20,2002,0.3,1,0,0,2,0,1,2,1,2,0,0,0,3,0,0,,misc
ESP-La Liga,2022,Atlético Madrid,Felipe,BRA,DF,33,1989,2.2,0,0,0,4,3,0,0,0,2,0,0,0,16,6,6,50.0,misc
ESP-La Liga,2022,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,5,0,0,17,19,2,0,26,23,0,0,0,101,12,10,54.5,misc
ESP-La Liga,2022,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,10.2,3,0,0,1,1,0,0,0,0,0,1,0,9,4,1,80.0,misc
ESP-La Liga,2022,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,27.7,1,0,0,0,3,0,0,1,0,0,0,0,24,2,0,100.0,misc
ESP-La Liga,2022,Atlético Madrid,José María Giménez,URU,DF,27,1995,26.9,9,0,0,19,8,0,0,24,25,0,1,0,141,49,24,67.1,misc
ESP-La Liga,2022,Atlético Madrid,João Félix,POR,"FW,MF",22,1999,7.2,5,0,0,16,23,3,8,3,7,0,0,0,18,7,8,46.7,misc
ESP-La Liga,2022,Atlético Madrid,Koke,ESP,MF,30,1992,28.3,4,0,0,20,27,1,24,20,38,0,0,0,170,11,14,44.0,misc
ESP-La Liga,2022,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,5,0,0,30,13,3,44,17,15,0,1,0,108,10,19,34.5,misc
ESP-La Liga,2022,Atlético Madrid,Mario Hermoso,ESP,DF,27,1995,23.4,7,2,2,27,13,2,16,19,15,0,1,0,137,35,27,56.5,misc
ESP-La Liga,2022,Atlético Madrid,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,2,0,0,7,6,1,3,2,1,0,0,0,16,3,14,17.6,misc
ESP-La Liga,2022,Atlético Madrid,Matt Doherty,IRL,DF,30,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2022,Atlético Madrid,Memphis,NED,FW,28,1994,3.0,1,0,0,2,6,0,5,0,0,0,0,0,3,1,5,16.7,misc
ESP-La Liga,2022,Atlético Madrid,Nahuel Molina,ARG,DF,24,1998,31.9,7,1,0,22,16,3,120,18,43,0,0,0,158,22,32,40.7,misc
ESP-La Liga,2022,Atlético Madrid,Pablo Barrios,ESP,MF,19,2003,8.0,4,0,0,7,12,0,6,9,10,0,0,0,49,6,9,40.0,misc
ESP-La Liga,2022,Atlético Madrid,Reinildo Mandava,MOZ,DF,28,1994,20.6,4,0,0,32,30,0,16,30,43,0,0,0,129,29,20,59.2,misc
ESP-La Liga,2022,Atlético Madrid,Rodrigo De Paul,ARG,MF,28,1994,21.4,5,0,0,33,49,0,47,8,21,0,0,0,127,6,8,42.9,misc
ESP-La Liga,2022,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,8,0,0,34,5,2,15,15,27,0,1,0,51,41,27,60.3,misc
