league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Almería,Adri Embarba,ESP,"FW,MF",30,1992,16.4,865,14,125,324,435,42,864,116,47,40.5,56,48.3,508,3885,1831,62,47,14,49,31,517,115,possession
ESP-La Liga,2022,Almería,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,1323,55,441,576,319,30,1323,24,12,50.0,10,41.7,625,2824,1563,44,31,10,27,9,721,90,possession
ESP-La Liga,2022,Almería,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,393,7,76,161,160,27,393,30,10,33.3,17,56.7,228,1385,691,24,11,9,28,8,243,57,possession
ESP-La Liga,2022,Almería,Chumi,ESP,DF,23,1999,16.5,970,105,519,363,93,8,970,16,7,43.8,9,56.3,532,2429,1057,13,6,1,11,8,577,10,possession
ESP-La Liga,2022,Almería,Curro,ESP,MF,26,1996,0.5,34,0,3,18,13,1,34,0,0,,0,,15,63,36,1,3,0,1,0,22,1,possession
ESP-La Liga,2022,Almería,César de la Hoz,ESP,MF,30,1992,18.6,723,54,247,427,51,10,723,8,4,50.0,4,50.0,324,1233,543,3,5,0,12,4,391,6,possession
ESP-La Liga,2022,Almería,Diego Mariño,ESP,GK,32,1990,0.5,10,10,10,0,0,0,10,0,0,,0,,2,12,12,0,0,0,0,0,0,0,possession
ESP-La Liga,2022,Almería,Dyego Sousa,POR,FW,32,1989,5.9,256,16,34,110,114,35,256,13,5,38.5,7,53.8,131,611,214,10,8,4,28,11,190,39,possession
ESP-La Liga,2022,Almería,El Bilal Touré,MLI,FW,20,2001,14.0,407,26,46,196,172,53,407,17,6,35.3,9,52.9,201,1136,519,18,16,9,44,9,261,51,possession
ESP-La Liga,2022,Almería,Fernando,ESP,GK,32,1990,36.5,1409,1270,1403,6,0,0,1409,1,1,100.0,0,0.0,704,3797,2346,0,0,0,0,0,535,0,possession
ESP-La Liga,2022,Almería,Fernando Pacheco,ESP,GK,30,1992,1.0,34,30,34,0,0,0,34,0,0,,0,,20,109,89,0,0,0,0,0,13,0,possession
ESP-La Liga,2022,Almería,Francisco Portillo,ESP,"MF,FW",32,1990,8.0,519,11,95,268,162,13,519,17,9,52.9,7,41.2,327,1777,930,16,23,0,10,9,373,37,possession
ESP-La Liga,2022,Almería,Gonzalo Melero,ESP,MF,28,1994,20.6,943,44,204,526,221,35,942,36,17,47.2,18,50.0,573,2999,1408,31,28,4,37,19,672,37,possession
ESP-La Liga,2022,Almería,Houboulang Mendes,GNB,DF,24,1998,9.8,436,29,160,183,97,1,436,21,9,42.9,9,42.9,201,1270,704,18,10,1,16,10,227,30,possession
ESP-La Liga,2022,Almería,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,8,0,1,2,5,1,8,1,1,100.0,0,0.0,7,44,9,0,0,0,2,0,7,3,possession
ESP-La Liga,2022,Almería,Kaiky,BRA,DF,18,2004,6.5,294,61,184,108,3,1,294,3,2,66.7,1,33.3,167,886,513,7,2,0,5,0,180,2,possession
ESP-La Liga,2022,Almería,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,486,11,77,180,241,51,485,68,32,47.1,32,47.1,316,2670,1328,59,32,24,39,24,333,94,possession
ESP-La Liga,2022,Almería,Lucas Robertone,ARG,MF,25,1997,31.6,1711,67,345,918,479,38,1711,68,27,39.7,30,44.1,928,4923,2510,47,48,7,44,19,1081,97,possession
ESP-La Liga,2022,Almería,Luis Javier Suárez,COL,FW,24,1997,16.6,578,14,55,308,225,60,578,44,19,43.2,21,47.7,331,1832,809,29,20,15,42,25,416,87,possession
ESP-La Liga,2022,Almería,Lázaro,BRA,"FW,MF",20,2002,8.0,321,4,27,138,162,38,321,28,15,53.6,13,46.4,208,1424,665,23,21,3,18,11,236,59,possession
ESP-La Liga,2022,Almería,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,789,16,158,391,262,61,789,36,14,38.9,16,44.4,465,2611,1484,38,31,9,56,17,525,83,possession
ESP-La Liga,2022,Almería,Marko Milovanović,SRB,FW,18,2003,0.2,12,0,1,5,6,1,12,0,0,,0,,5,20,8,0,1,0,0,3,10,3,possession
ESP-La Liga,2022,Almería,Rodrigo Ely,BRA,DF,28,1993,35.1,1857,376,1164,646,54,30,1857,7,5,71.4,1,14.3,964,3809,1958,6,8,1,16,2,1084,4,possession
ESP-La Liga,2022,Almería,Samu Costa,POR,MF,21,2000,22.1,1395,96,478,774,153,16,1395,22,9,40.9,12,54.5,717,2783,1113,9,8,1,31,13,856,24,possession
ESP-La Liga,2022,Almería,Sergio Akieme,ESP,DF,24,1997,25.5,1283,78,434,563,307,35,1283,51,27,52.9,18,35.3,660,4200,2232,60,34,11,29,25,710,84,possession
ESP-La Liga,2022,Almería,Srđan Babić,SRB,DF,26,1996,33.3,1640,237,976,633,43,16,1640,8,4,50.0,4,50.0,891,4831,2792,21,13,1,10,3,1013,5,possession
ESP-La Liga,2022,Almería,Umar Sadiq,NGA,FW,25,1997,2.7,74,3,6,31,39,18,74,12,4,33.3,8,66.7,47,390,211,5,8,6,7,11,53,7,possession
ESP-La Liga,2022,Almería,Álex Centelles,ESP,DF,24,1997,12.5,686,55,269,244,180,7,686,14,6,42.9,7,50.0,341,1561,854,17,11,1,11,6,368,48,possession
ESP-La Liga,2022,Almería,Íñigo Eguaras,ESP,MF,30,1992,10.7,614,26,174,369,75,3,614,5,4,80.0,1,20.0,354,1476,706,8,8,0,7,4,433,7,possession
ESP-La Liga,2022,Athletic Club,Adu Ares,ESP,"FW,MF",20,2001,0.9,69,2,5,18,46,3,69,9,5,55.6,2,22.2,51,410,246,8,4,1,1,3,49,19,possession
ESP-La Liga,2022,Athletic Club,Aitor Paredes,ESP,DF,22,2000,9.5,600,53,277,296,30,10,600,1,0,0.0,1,100.0,343,1678,895,4,2,0,3,0,377,8,possession
ESP-La Liga,2022,Athletic Club,Ander Capa,ESP,DF,30,1992,1.2,110,2,24,50,37,2,110,3,2,66.7,1,33.3,53,406,193,5,9,1,3,2,56,7,possession
ESP-La Liga,2022,Athletic Club,Ander Herrera,ESP,MF,32,1989,7.7,540,18,99,302,141,17,540,10,5,50.0,4,40.0,316,1009,452,8,8,1,6,8,387,14,possession
ESP-La Liga,2022,Athletic Club,Asier Villalibre,ESP,FW,24,1997,1.1,27,1,1,7,19,7,27,0,0,,0,,14,48,14,0,0,0,0,2,22,9,possession
ESP-La Liga,2022,Athletic Club,Dani García,ESP,MF,32,1990,16.5,868,43,183,560,130,5,868,2,2,100.0,0,0.0,411,1289,514,6,6,0,6,4,497,8,possession
ESP-La Liga,2022,Athletic Club,Daniel Vivian,ESP,DF,23,1999,26.4,1720,143,804,857,71,26,1720,11,4,36.4,6,54.5,1029,5819,3835,25,12,0,21,14,1039,5,possession
ESP-La Liga,2022,Athletic Club,Gorka Guruzeta,ESP,FW,25,1996,15.8,587,13,48,274,267,74,587,20,10,50.0,10,50.0,296,1161,450,15,10,4,40,22,412,93,possession
ESP-La Liga,2022,Athletic Club,Iker Muniain,ESP,"MF,FW",29,1992,18.8,1256,5,86,612,575,40,1256,66,39,59.1,15,22.7,823,4049,1867,50,55,9,30,30,961,103,possession
ESP-La Liga,2022,Athletic Club,Iñaki Williams,GHA,FW,28,1994,31.5,1182,38,103,389,707,181,1180,105,47,44.8,48,45.7,756,5180,2721,127,53,57,73,42,915,341,possession
ESP-La Liga,2022,Athletic Club,Iñigo Lekue,ESP,DF,29,1993,14.7,951,45,265,450,249,13,951,22,11,50.0,9,40.9,521,2856,1643,42,25,6,17,3,506,59,possession
ESP-La Liga,2022,Athletic Club,Iñigo Martínez,ESP,DF,31,1991,14.9,914,117,451,430,38,15,914,0,0,,0,,495,3173,2165,11,10,0,4,2,529,4,possession
ESP-La Liga,2022,Athletic Club,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,51,0,9,13,30,3,51,5,3,60.0,0,0.0,37,332,198,6,6,1,0,2,38,15,possession
ESP-La Liga,2022,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,7.5,253,203,249,4,0,0,253,0,0,,0,,150,804,551,0,0,0,0,0,105,0,possession
ESP-La Liga,2022,Athletic Club,Mikel Balenziaga,ESP,DF,34,1988,1.3,77,2,14,39,25,0,77,1,1,100.0,0,0.0,29,100,50,0,2,0,0,1,41,6,possession
ESP-La Liga,2022,Athletic Club,Mikel Vesga,ESP,MF,29,1993,28.6,1800,66,338,1118,355,32,1797,18,10,55.6,8,44.4,962,4175,1995,26,29,4,38,16,1152,31,possession
ESP-La Liga,2022,Athletic Club,Nico Williams,ESP,FW,20,2002,29.5,1382,11,132,376,898,148,1382,200,83,41.5,91,45.5,891,7039,3996,174,69,64,87,45,963,321,possession
ESP-La Liga,2022,Athletic Club,Oier Zarraga,ESP,MF,23,1999,9.5,447,7,60,229,168,12,447,7,5,71.4,2,28.6,271,1549,766,12,15,2,6,9,304,32,possession
ESP-La Liga,2022,Athletic Club,Oihan Sancet,ESP,MF,22,2000,28.1,1269,17,114,623,561,80,1267,83,46,55.4,25,30.1,847,5286,2806,91,71,17,82,61,981,156,possession
ESP-La Liga,2022,Athletic Club,Raúl García,ESP,"FW,MF",36,1986,10.7,446,9,32,192,224,68,446,12,6,50.0,5,41.7,230,940,453,12,15,2,13,8,321,62,possession
ESP-La Liga,2022,Athletic Club,Unai Simón,ESP,GK,25,1997,30.5,1007,810,1001,7,0,0,1007,0,0,,0,,598,3166,1823,0,0,0,1,0,480,0,possession
ESP-La Liga,2022,Athletic Club,Unai Vencedor Paris,ESP,MF,21,2000,2.1,149,5,28,93,29,4,149,2,1,50.0,1,50.0,76,343,179,2,2,1,4,4,94,3,possession
ESP-La Liga,2022,Athletic Club,Yeray Álvarez,ESP,DF,27,1995,25.9,1651,161,698,896,74,16,1651,11,6,54.5,1,9.1,898,6084,4073,32,17,1,8,1,915,8,possession
ESP-La Liga,2022,Athletic Club,Yuri Berchiche,ESP,DF,32,1990,26.7,1865,92,478,899,506,24,1865,30,12,40.0,15,50.0,966,4831,2537,59,45,3,22,14,1047,95,possession
ESP-La Liga,2022,Athletic Club,Álex Berenguer,ESP,FW,27,1995,25.5,1298,22,135,390,794,117,1298,85,37,43.5,44,51.8,716,4451,2024,73,54,35,63,39,848,249,possession
ESP-La Liga,2022,Athletic Club,Óscar de Marcos,ESP,DF,33,1989,31.3,2218,93,525,1042,671,34,2218,31,12,38.7,17,54.8,1119,4785,2851,76,68,8,26,19,1245,153,possession
ESP-La Liga,2022,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,1971,45,247,933,818,153,1970,83,47,56.6,28,33.7,1103,5931,3089,99,66,25,41,35,1445,202,possession
ESP-La Liga,2022,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,0.1,3,3,3,0,0,0,3,0,0,,0,,1,19,7,0,0,0,0,0,0,0,possession
ESP-La Liga,2022,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33,1989,25.1,1521,168,634,810,82,18,1521,7,6,85.7,1,14.3,949,4096,1965,6,9,0,8,3,1059,11,possession
ESP-La Liga,2022,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20,2002,0.3,14,0,0,9,5,1,14,0,0,,0,,6,20,8,0,0,0,0,0,9,3,possession
ESP-La Liga,2022,Atlético Madrid,Felipe,BRA,DF,33,1989,2.2,149,9,56,90,5,2,149,2,1,50.0,1,50.0,102,581,332,2,0,0,0,0,98,1,possession
ESP-La Liga,2022,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,751,29,196,498,66,8,751,10,5,50.0,2,20.0,413,1449,637,6,7,1,6,10,511,5,possession
ESP-La Liga,2022,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,10.2,361,330,360,1,0,0,361,0,0,,0,,181,1016,681,0,0,0,0,0,123,0,possession
ESP-La Liga,2022,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,27.7,861,783,857,4,0,0,861,1,1,100.0,0,0.0,416,2241,1218,0,1,1,0,0,345,0,possession
ESP-La Liga,2022,Atlético Madrid,José María Giménez,URU,DF,27,1995,26.9,1623,277,941,643,50,30,1623,10,6,60.0,4,40.0,861,3631,1867,9,5,0,9,1,1041,3,possession
ESP-La Liga,2022,Atlético Madrid,João Félix,POR,"FW,MF",22,1999,7.2,322,3,23,158,142,21,322,24,6,25.0,14,58.3,211,1078,554,17,16,2,20,12,260,42,possession
ESP-La Liga,2022,Atlético Madrid,Koke,ESP,MF,30,1992,28.3,2244,70,542,1337,376,21,2244,22,13,59.1,8,36.4,1246,4448,2069,15,25,0,21,18,1736,37,possession
ESP-La Liga,2022,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,997,35,216,378,415,64,997,27,12,44.4,13,48.1,558,3321,1942,64,45,15,23,11,661,139,possession
ESP-La Liga,2022,Atlético Madrid,Mario Hermoso,ESP,DF,27,1995,23.4,1718,139,718,840,171,21,1718,22,14,63.6,7,31.8,886,3555,1979,23,16,0,20,9,1145,17,possession
ESP-La Liga,2022,Atlético Madrid,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19,possession
ESP-La Liga,2022,Atlético Madrid,Matt Doherty,IRL,DF,30,1992,0.2,11,0,6,3,2,0,11,0,0,,0,,6,15,5,0,0,0,0,0,6,1,possession
ESP-La Liga,2022,Atlético Madrid,Memphis,NED,FW,28,1994,3.0,139,0,7,47,86,27,139,11,4,36.4,6,54.5,87,368,181,4,2,4,16,9,122,22,possession
ESP-La Liga,2022,Atlético Madrid,Nahuel Molina,ARG,DF,24,1998,31.9,2229,87,696,833,709,47,2229,51,21,41.2,24,47.1,1080,4861,2929,73,43,9,32,10,1386,249,possession
ESP-La Liga,2022,Atlético Madrid,Pablo Barrios,ESP,MF,19,2003,8.0,554,12,106,314,140,12,554,30,15,50.0,12,40.0,320,1795,690,16,10,3,15,10,405,27,possession
ESP-La Liga,2022,Atlético Madrid,Reinildo Mandava,MOZ,DF,28,1994,20.6,1297,102,501,658,143,15,1297,24,6,25.0,12,50.0,708,3214,1819,28,20,9,20,9,770,41,possession
ESP-La Liga,2022,Atlético Madrid,Rodrigo De Paul,ARG,MF,28,1994,21.4,1598,14,261,923,425,18,1598,32,16,50.0,11,34.4,1026,5240,2897,55,41,3,32,15,1280,68,possession
ESP-La Liga,2022,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,695,42,182,336,181,31,695,14,12,85.7,2,14.3,301,1438,621,12,10,4,22,6,447,47,possession
ESP-La Liga,2022,Atlético Madrid,Sergio Reguilón,ESP,DF,25,1996,3.4,178,7,44,72,66,10,178,6,3,50.0,1,16.7,101,758,444,16,12,5,5,3,115,30,possession
ESP-La Liga,2022,Atlético Madrid,Stefan Savić,MNE,DF,31,1991,21.6,1317,166,647,636,35,6,1317,5,4,80.0,0,0.0,777,3967,2536,20,5,1,2,3,892,6,possession
