league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ESP-La Liga,2024,Alavés,Abdel Abqar,MAR,DF,26-032,1999,26.5,36,23,24,11,1,20,33,60.6,13,24,16,8,39,75,144,1,defense
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0,defense
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,defense
ESP-La Liga,2024,Alavés,Aleksandar Sedlar,SRB,DF,33-119,1991,4.7,15,9,5,10,0,7,9,77.8,2,2,1,1,7,22,12,1,defense
ESP-La Liga,2024,Alavés,Ander Guevara,ESP,MF,27-278,1997,17.0,38,23,16,21,1,18,41,43.9,23,18,5,13,10,48,39,1,defense
ESP-La Liga,2024,Alavés,Antonio Blanco,ESP,MF,24-262,2000,22.7,51,32,19,29,3,26,61,42.6,35,24,6,18,35,86,37,1,defense
ESP-La Liga,2024,Alavés,Antonio Sivera,ESP,GK,28-243,1996,24.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,15,0,defense
ESP-La Liga,2024,Alavés,Asier Villalibre,ESP,FW,27-193,1997,3.5,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,7,0,defense
ESP-La Liga,2024,Alavés,Carles Aleñá,ESP,"MF,FW",27-096,1998,5.8,13,8,5,4,4,4,9,44.4,5,5,0,5,0,13,1,0,defense
ESP-La Liga,2024,Alavés,Carlos Benavídez,URU,MF,27-012,1998,3.8,7,5,3,3,1,1,4,25.0,3,3,1,2,8,15,9,1,defense
ESP-La Liga,2024,Alavés,Carlos Martín,ESP,"FW,MF",22-354,2002,13.1,32,17,14,12,6,11,42,26.2,31,28,1,27,5,37,16,0,defense
ESP-La Liga,2024,Alavés,Carlos Vicente,ESP,"FW,MF",25-353,1999,26.4,33,23,21,7,5,19,44,43.2,25,23,2,21,11,44,26,0,defense
ESP-La Liga,2024,Alavés,Facundo Garcés,ARG,DF,25-218,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,defense
ESP-La Liga,2024,Alavés,Hugo Novoa,ESP,"DF,MF",22-100,2003,2.6,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0,defense
ESP-La Liga,2024,Alavés,Jesús Owono,EQG,GK,24-041,2001,4.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,defense
ESP-La Liga,2024,Alavés,Joan Jordán,ESP,MF,30-279,1994,12.7,24,14,9,12,3,11,23,47.8,12,10,0,10,8,32,17,0,defense
ESP-La Liga,2024,Alavés,Jon Guridi,ESP,"MF,FW",30-042,1995,17.7,29,15,5,19,5,13,34,38.2,21,18,1,17,10,39,8,0,defense
ESP-La Liga,2024,Alavés,Kiké,ESP,FW,35-137,1989,21.7,11,10,1,7,3,2,5,40.0,3,8,2,6,1,12,20,0,defense
ESP-La Liga,2024,Alavés,Luis Rioja,ESP,FW,31-177,1993,0.3,2,1,0,1,1,1,2,50.0,1,2,0,2,0,2,0,0,defense
ESP-La Liga,2024,Alavés,Luka Romero,ARG,"FW,MF",20-144,2004,2.2,4,4,1,1,2,2,3,66.7,1,2,0,2,1,5,0,0,defense
ESP-La Liga,2024,Alavés,Manu Sánchez,ESP,DF,24-230,2000,22.7,63,43,34,20,9,32,53,60.4,21,43,9,34,25,88,58,1,defense
ESP-La Liga,2024,Alavés,Moussa Diarra,MLI,DF,24-152,2000,18.6,30,18,16,12,2,15,26,57.7,11,11,3,8,21,51,37,1,defense
ESP-La Liga,2024,Alavés,Nahuel Tenaglia,ARG,DF,29-049,1996,25.3,77,45,50,22,5,42,67,62.7,25,24,6,18,35,112,99,1,defense
ESP-La Liga,2024,Alavés,Pau Cabanes,ESP,"MF,FW",20-053,2005,2.0,6,2,4,1,1,4,10,40.0,6,1,0,1,0,6,1,0,defense
ESP-La Liga,2024,Alavés,Pica,ESP,DF,23-100,2002,5.4,9,7,7,2,0,4,9,44.4,5,7,6,1,8,17,23,0,defense
ESP-La Liga,2024,Alavés,Santiago Mouriño,URU,DF,23-057,2002,14.5,29,20,21,8,0,13,25,52.0,12,20,8,12,21,50,83,0,defense
ESP-La Liga,2024,Alavés,Stoichkov,ESP,"MF,FW",31-157,1993,7.8,14,9,6,7,1,6,11,54.5,5,2,0,2,1,15,7,0,defense
ESP-La Liga,2024,Alavés,Tomás Conechny,ARG,"FW,MF",27-012,1998,8.0,10,7,3,5,2,6,19,31.6,13,13,2,11,5,15,8,0,defense
ESP-La Liga,2024,Alavés,Toni Martínez,ESP,FW,27-285,1997,9.6,9,5,3,3,3,2,3,66.7,1,7,2,5,0,9,10,0,defense
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002,9.1,15,7,8,5,2,7,11,63.6,4,8,3,5,9,24,25,1,defense
ESP-La Liga,2024,Athletic Club,Adu Ares,ESP,FW,23-181,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ESP-La Liga,2024,Athletic Club,Aitor Paredes,ESP,DF,24-347,2000,15.1,10,8,7,3,0,4,10,40.0,6,19,9,10,19,29,93,4,defense
ESP-La Liga,2024,Athletic Club,Alex Padilla,ESP,GK,21-222,2003,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,defense
ESP-La Liga,2024,Athletic Club,Ander Herrera,ESP,MF,35-240,1989,3.0,8,4,1,7,0,3,6,50.0,3,1,0,1,2,10,10,0,defense
ESP-La Liga,2024,Athletic Club,Andoni Gorosabel,ESP,DF,28-250,1996,12.6,31,16,19,7,5,17,28,60.7,11,14,1,13,13,44,40,0,defense
ESP-La Liga,2024,Athletic Club,Beñat Prados,ESP,MF,24-062,2001,15.4,39,23,13,20,6,14,37,37.8,23,19,2,17,23,62,22,0,defense
ESP-La Liga,2024,Athletic Club,Daniel Vivian,ESP,DF,25-270,1999,22.6,36,22,21,13,2,19,28,67.9,9,20,8,12,32,68,103,1,defense
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ESP-La Liga,2024,Athletic Club,Gorka Guruzeta,ESP,FW,28-211,1996,16.2,13,6,1,10,2,6,25,24.0,19,24,3,21,6,19,17,0,defense
ESP-La Liga,2024,Athletic Club,Iñaki Williams,GHA,"FW,MF",30-300,1994,26.7,17,10,4,8,5,12,21,57.1,9,28,3,25,12,29,27,0,defense
ESP-La Liga,2024,Athletic Club,Iñigo Lekue,ESP,DF,31-342,1993,6.3,11,8,9,2,0,5,10,50.0,5,6,1,5,5,16,18,2,defense
ESP-La Liga,2024,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31-248,1993,11.9,29,20,10,13,6,15,23,65.2,8,7,2,5,10,39,8,2,defense
ESP-La Liga,2024,Athletic Club,Javi Martón,ESP,"FW,MF",25-340,1999,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2024,Athletic Club,Julen Agirrezabala,ESP,GK,24-106,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,defense
ESP-La Liga,2024,Athletic Club,Maroan Sannadi,ESP,FW,24-069,2001,3.6,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,defense
ESP-La Liga,2024,Athletic Club,Mikel Jauregizar,ESP,MF,21-150,2003,19.5,67,39,21,35,11,34,67,50.7,33,20,3,17,23,90,23,2,defense
ESP-La Liga,2024,Athletic Club,Mikel Vesga,ESP,MF,31-325,1993,8.6,18,12,6,11,1,9,23,39.1,14,8,0,8,11,29,14,0,defense
ESP-La Liga,2024,Athletic Club,Nico Williams,ESP,FW,22-273,2002,20.8,27,17,10,11,6,10,29,34.5,19,19,1,18,6,33,9,0,defense
ESP-La Liga,2024,Athletic Club,Nicolás Serrano,ESP,FW,22-037,2003,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0,defense
ESP-La Liga,2024,Athletic Club,Oihan Sancet,ESP,MF,24-351,2000,15.3,10,6,6,3,1,4,12,33.3,8,9,0,9,5,15,5,0,defense
ESP-La Liga,2024,Athletic Club,Peio Canales,ESP,"MF,FW",20-084,2005,1.4,2,2,0,0,2,1,1,100.0,0,0,0,0,2,4,1,0,defense
ESP-La Liga,2024,Athletic Club,Unai Gómez,ESP,"MF,FW",21-321,2003,10.1,7,3,2,4,1,3,4,75.0,1,8,0,8,2,9,9,0,defense
ESP-La Liga,2024,Athletic Club,Unai Núñez,ESP,DF,28-071,1997,5.5,7,3,4,3,0,2,4,50.0,2,2,2,0,17,24,34,1,defense
ESP-La Liga,2024,Athletic Club,Unai Simón,ESP,GK,27-304,1997,13.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,7,3,defense
ESP-La Liga,2024,Athletic Club,Yeray Álvarez,ESP,DF,30-077,1995,16.8,24,13,13,9,2,14,20,70.0,6,9,5,4,32,56,96,1,defense
ESP-La Liga,2024,Athletic Club,Yuri Berchiche,ESP,DF,35-060,1990,17.7,28,18,14,11,3,16,27,59.3,11,18,2,16,17,45,44,2,defense
ESP-La Liga,2024,Athletic Club,Álex Berenguer,ESP,"FW,MF",29-281,1995,19.8,24,11,2,13,9,11,20,55.0,9,17,2,15,8,32,13,0,defense
ESP-La Liga,2024,Athletic Club,Álvaro djaló,ESP,FW,25-238,1999,5.1,6,4,3,2,1,1,3,33.3,2,2,0,2,1,7,4,0,defense
ESP-La Liga,2024,Athletic Club,Óscar de Marcos,ESP,DF,35-362,1989,14.3,28,13,13,11,4,19,32,59.4,13,15,1,14,14,42,28,0,defense
ESP-La Liga,2024,Atlético Madrid,Adrian Niño,ESP,FW,20-296,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2024,Atlético Madrid,Alexander Sørloth,NOR,FW,29-127,1995,12.6,6,2,1,3,2,2,4,50.0,2,4,1,3,1,7,21,0,defense
ESP-La Liga,2024,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34-021,1991,24.0,29,16,13,12,4,7,29,24.1,22,13,0,13,6,35,23,1,defense
ESP-La Liga,2024,Atlético Madrid,Axel Witsel,BEL,DF,36-089,1989,8.5,13,12,4,8,1,10,12,83.3,2,15,8,7,9,22,32,1,defense
ESP-La Liga,2024,Atlético Madrid,Clément Lenglet,FRA,DF,29-298,1995,17.3,17,11,13,4,0,7,10,70.0,3,23,18,5,18,35,77,1,defense
ESP-La Liga,2024,Atlético Madrid,Conor Gallagher,ENG,MF,25-064,2000,14.2,38,28,14,15,9,18,39,46.2,21,20,4,16,15,53,19,0,defense
ESP-La Liga,2024,Atlético Madrid,César Azpilicueta,ESP,DF,35-226,1989,7.8,23,12,11,8,4,16,22,72.7,6,4,1,3,2,25,23,0,defense
ESP-La Liga,2024,Atlético Madrid,Giuliano Simeone,ARG,"MF,DF",22-114,2002,15.8,20,9,5,7,8,12,22,54.5,10,16,2,14,10,30,18,0,defense
ESP-La Liga,2024,Atlético Madrid,Jan Oblak,SVN,GK,32-094,1993,29.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,2,defense
ESP-La Liga,2024,Atlético Madrid,Javi Galán,ESP,DF,30-143,1994,13.7,39,23,25,11,3,19,38,50.0,19,11,3,8,7,46,32,0,defense
ESP-La Liga,2024,Atlético Madrid,José María Giménez,URU,DF,30-081,1995,18.2,20,13,13,7,0,14,24,58.3,10,23,16,7,22,42,96,1,defense
ESP-La Liga,2024,Atlético Madrid,Juan Musso,ARG,GK,30-340,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ESP-La Liga,2024,Atlético Madrid,Julián Álvarez,ARG,"FW,MF",25-070,2000,21.5,21,14,5,7,9,7,25,28.0,18,13,0,13,0,21,9,1,defense
ESP-La Liga,2024,Atlético Madrid,Koke,ESP,MF,33-093,1992,16.3,38,21,14,18,6,20,38,52.6,18,17,1,16,17,55,23,1,defense
ESP-La Liga,2024,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30-071,1995,19.9,53,40,30,20,3,31,44,70.5,13,21,6,15,20,73,43,1,defense
ESP-La Liga,2024,Atlético Madrid,Nahuel Molina,ARG,DF,27-005,1998,15.3,36,16,15,20,1,26,49,53.1,23,16,3,13,11,47,42,0,defense
ESP-La Liga,2024,Atlético Madrid,Pablo Barrios,ESP,MF,21-300,2003,20.8,35,20,16,17,2,17,35,48.6,18,11,3,8,30,65,28,5,defense
ESP-La Liga,2024,Atlético Madrid,Reinildo Mandava,MOZ,DF,31-080,1994,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0,defense
ESP-La Liga,2024,Atlético Madrid,Robin Le Normand,ESP,DF,28-151,1996,17.6,21,13,18,3,0,9,16,56.3,7,14,7,7,8,29,84,1,defense
ESP-La Liga,2024,Atlético Madrid,Rodrigo De Paul,ARG,MF,30-322,1994,18.0,22,17,10,8,4,11,28,39.3,17,22,2,20,5,27,12,3,defense
ESP-La Liga,2024,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",25-009,2000,5.0,9,4,4,5,0,5,10,50.0,5,2,0,2,1,10,3,0,defense
ESP-La Liga,2024,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25-109,1999,13.9,23,12,18,4,1,17,43,39.5,26,18,3,15,7,30,12,0,defense
ESP-La Liga,2024,Atlético Madrid,Thomas Lemar,FRA,MF,29-150,1995,0.5,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,defense
ESP-La Liga,2024,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30-033,1995,7.7,7,1,3,1,3,3,13,23.1,10,8,0,8,4,11,7,0,defense
ESP-La Liga,2024,Barcelona,Alejandro Balde,ESP,DF,21-175,2003,22.7,16,10,9,4,3,9,14,64.3,5,23,4,19,5,21,24,0,defense
ESP-La Liga,2024,Barcelona,Andreas Christensen,DEN,DF,29-001,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ESP-La Liga,2024,Barcelona,Ansu Fati,ESP,FW,22-162,2002,1.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,1,defense
ESP-La Liga,2024,Barcelona,Dani Olmo,ESP,"MF,FW",26-339,1998,10.1,14,9,8,4,2,3,11,27.3,8,5,3,2,2,16,10,1,defense
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001,11.7,22,12,5,15,2,11,15,73.3,4,17,7,10,10,32,30,0,defense
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003,8.8,15,13,3,6,6,6,22,27.3,16,7,0,7,4,19,3,0,defense
ESP-La Liga,2024,Barcelona,Ferrán Torres,ESP,"FW,MF",25-041,2000,9.6,5,3,1,2,2,1,4,25.0,3,7,1,6,2,7,3,0,defense
ESP-La Liga,2024,Barcelona,Frenkie de Jong,NED,MF,27-334,1997,8.0,11,6,3,4,4,4,11,36.4,7,5,0,5,3,14,6,0,defense
