league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3,misc
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000.0,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,misc
ESP-La Liga,2024,Alavés,Aleksandar Sedlar,SRB,DF,33-119,1991.0,4.7,1,1,0,7,4,0,0,7,9,0,0,0,12,8,3,72.7,misc
ESP-La Liga,2024,Alavés,Ander Guevara,ESP,MF,27-278,1997.0,17.0,1,0,0,27,15,0,3,10,23,0,0,0,89,23,31,42.6,misc
ESP-La Liga,2024,Alavés,Antonio Blanco,ESP,MF,24-262,2000.0,22.7,9,1,1,50,22,0,25,35,32,0,0,0,117,24,26,48.0,misc
ESP-La Liga,2024,Alavés,Antonio Sivera,ESP,GK,28-243,1996.0,24.2,5,1,0,4,4,0,0,0,0,0,3,1,19,4,1,80.0,misc
ESP-La Liga,2024,Alavés,Asier Villalibre,ESP,FW,27-193,1997.0,3.5,2,0,0,11,7,1,2,1,1,0,0,0,7,19,10,65.5,misc
ESP-La Liga,2024,Alavés,Carles Aleñá,ESP,"MF,FW",27-096,1998.0,5.8,1,0,0,6,14,0,21,0,8,0,0,0,19,6,4,60.0,misc
ESP-La Liga,2024,Alavés,Carlos Benavídez,URU,MF,27-012,1998.0,3.8,2,0,0,13,3,0,1,8,5,0,0,0,22,6,4,60.0,misc
ESP-La Liga,2024,Alavés,Carlos Martín,ESP,"FW,MF",22-354,2002.0,13.1,2,0,0,25,26,4,22,5,17,0,0,0,47,11,17,39.3,misc
ESP-La Liga,2024,Alavés,Carlos Vicente,ESP,"FW,MF",25-353,1999.0,26.4,1,0,0,24,46,8,197,11,23,0,0,0,102,26,45,36.6,misc
