league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ESP-La Liga,2024,Alavés,Abdel Abqar,MAR,DF,26-032,1999,26.5,0,11,1,9.1,0.41,0.04,0.0,0.0,7.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,shooting
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Aleksandar Sedlar,SRB,DF,33-119,1991,4.7,0,1,0,0.0,0.21,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Ander Guevara,ESP,MF,27-278,1997,17.0,0,8,2,25.0,0.47,0.12,0.0,0.0,22.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,shooting
ESP-La Liga,2024,Alavés,Antonio Blanco,ESP,MF,24-262,2000,22.7,0,19,2,10.5,0.84,0.09,0.0,0.0,25.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,shooting
ESP-La Liga,2024,Alavés,Antonio Sivera,ESP,GK,28-243,1996,24.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Asier Villalibre,ESP,FW,27-193,1997,3.5,1,7,1,14.3,2.01,0.29,0.0,0.0,14.2,0,1,1,1.6,0.8,0.11,-0.6,-0.8,shooting
ESP-La Liga,2024,Alavés,Carles Aleñá,ESP,"MF,FW",27-096,1998,5.8,0,8,2,25.0,1.38,0.34,0.0,0.0,20.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,shooting
ESP-La Liga,2024,Alavés,Carlos Benavídez,URU,MF,27-012,1998,3.8,1,3,1,33.3,0.78,0.26,0.33,1.0,25.1,0,0,0,0.1,0.1,0.04,0.9,0.9,shooting
ESP-La Liga,2024,Alavés,Carlos Martín,ESP,"FW,MF",22-354,2002,13.1,2,25,11,44.0,1.91,0.84,0.08,0.18,16.7,0,0,0,2.2,2.2,0.09,-0.2,-0.2,shooting
ESP-La Liga,2024,Alavés,Carlos Vicente,ESP,"FW,MF",25-353,1999,26.4,4,26,11,42.3,0.99,0.42,0.15,0.36,17.1,1,0,0,2.4,2.4,0.09,1.6,1.6,shooting
ESP-La Liga,2024,Alavés,Facundo Garcés,ARG,DF,25-218,1999,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Hugo Novoa,ESP,"DF,MF",22-100,2003,2.6,0,1,0,0.0,0.38,0.0,0.0,,9.7,0,0,0,0.5,0.5,0.49,-0.5,-0.5,shooting
ESP-La Liga,2024,Alavés,Jesús Owono,EQG,GK,24-041,2001,4.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Joan Jordán,ESP,MF,30-279,1994,12.7,4,12,4,33.3,0.94,0.31,0.17,0.5,25.6,5,2,3,4.0,1.6,0.13,0.0,0.4,shooting
ESP-La Liga,2024,Alavés,Jon Guridi,ESP,"MF,FW",30-042,1995,17.7,3,17,10,58.8,0.96,0.56,0.12,0.2,15.5,0,1,1,3.0,2.2,0.13,0.0,-0.2,shooting
ESP-La Liga,2024,Alavés,Kiké,ESP,FW,35-137,1989,21.7,11,42,18,42.9,1.93,0.83,0.21,0.5,15.7,0,2,2,7.3,5.7,0.14,3.7,3.3,shooting
ESP-La Liga,2024,Alavés,Luis Rioja,ESP,FW,31-177,1993,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Luka Romero,ARG,"FW,MF",20-144,2004,2.2,0,1,0,0.0,0.45,0.0,0.0,,38.7,0,0,1,0.8,0.0,0.02,-0.8,0.0,shooting
ESP-La Liga,2024,Alavés,Manu Sánchez,ESP,DF,24-230,2000,22.7,1,12,2,16.7,0.53,0.09,0.08,0.5,16.7,0,0,0,1.7,1.7,0.15,-0.7,-0.7,shooting
ESP-La Liga,2024,Alavés,Moussa Diarra,MLI,DF,24-152,2000,18.6,0,1,0,0.0,0.05,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Nahuel Tenaglia,ARG,DF,29-049,1996,25.3,1,18,4,22.2,0.71,0.16,0.06,0.25,15.1,0,0,0,1.7,1.7,0.1,-0.7,-0.7,shooting
ESP-La Liga,2024,Alavés,Pau Cabanes,ESP,"MF,FW",20-053,2005,2.0,0,2,1,50.0,1.02,0.51,0.0,0.0,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ESP-La Liga,2024,Alavés,Pica,ESP,DF,23-100,2002,5.4,0,4,1,25.0,0.74,0.18,0.0,0.0,10.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting
ESP-La Liga,2024,Alavés,Santiago Mouriño,URU,DF,23-057,2002,14.5,0,9,3,33.3,0.62,0.21,0.0,0.0,15.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,shooting
ESP-La Liga,2024,Alavés,Stoichkov,ESP,"MF,FW",31-157,1993,7.8,0,18,3,16.7,2.32,0.39,0.0,0.0,19.8,1,0,0,1.1,1.1,0.06,-1.1,-1.1,shooting
