league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
ESP-La Liga,2024,Alavés,Abdel Abqar,MAR,DF,26-032,1999,28,28,2388,26.5,0,1,1,0,0,0,13,0,0.8,0.8,0.2,1.1,16,78,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,standard
ESP-La Liga,2024,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-243,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,standard
ESP-La Liga,2024,Alavés,Adrian Rodriguez,ESP,GK,24-120,2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Alavés,Aleksandar Sedlar,SRB,DF,33-119,1991,7,5,426,4.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard
ESP-La Liga,2024,Alavés,Ander Guevara,ESP,MF,27-278,1997,26,16,1532,17.0,0,1,1,0,0,0,1,0,0.4,0.4,0.5,1.0,11,91,13,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.06,0.03,0.06,standard
ESP-La Liga,2024,Alavés,Antonio Blanco,ESP,MF,24-262,2000,27,24,2041,22.7,0,1,1,0,0,0,9,1,0.7,0.7,1.4,2.0,5,109,14,0.0,0.04,0.04,0.0,0.04,0.03,0.06,0.09,0.03,0.09,standard
ESP-La Liga,2024,Alavés,Antonio Sivera,ESP,GK,28-243,1996,25,25,2180,24.2,0,0,0,0,0,0,5,1,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Alavés,Asier Villalibre,ESP,FW,27-193,1997,15,2,314,3.5,1,1,2,0,1,1,2,0,1.6,0.8,1.0,1.8,4,7,18,0.29,0.29,0.57,0.0,0.29,0.45,0.28,0.73,0.22,0.5,standard
ESP-La Liga,2024,Alavés,Carles Aleñá,ESP,"MF,FW",27-096,1998,7,6,522,5.8,0,2,2,0,0,0,1,0,0.4,0.4,0.6,1.0,14,34,20,0.0,0.34,0.34,0.0,0.34,0.07,0.1,0.18,0.07,0.18,standard
ESP-La Liga,2024,Alavés,Carlos Benavídez,URU,MF,27-012,1998,11,5,346,3.8,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,3,18,5,0.26,0.26,0.52,0.26,0.52,0.03,0.16,0.19,0.03,0.19,standard
ESP-La Liga,2024,Alavés,Carlos Martín,ESP,"FW,MF",22-354,2002,21,14,1181,13.1,2,2,4,2,0,0,2,0,2.2,2.2,2.7,4.9,12,18,60,0.15,0.15,0.3,0.15,0.3,0.17,0.21,0.37,0.17,0.37,standard
ESP-La Liga,2024,Alavés,Carlos Vicente,ESP,"FW,MF",25-353,1999,29,27,2372,26.4,4,3,7,4,0,0,1,0,2.4,2.4,4.2,6.6,85,45,166,0.15,0.11,0.27,0.15,0.27,0.09,0.16,0.25,0.09,0.25,standard
ESP-La Liga,2024,Alavés,Facundo Garcés,ARG,DF,25-218,1999,3,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Alavés,Hugo Novoa,ESP,"DF,MF",22-100,2003,5,2,237,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7,2,10,0.0,0.0,0.0,0.0,0.0,0.18,0.07,0.26,0.18,0.26,standard
ESP-La Liga,2024,Alavés,Jesús Owono,EQG,GK,24-041,2001,5,4,397,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Alavés,Joan Jordán,ESP,MF,30-279,1994,19,12,1147,12.7,4,2,6,2,2,3,2,0,4.0,1.6,2.0,3.6,4,78,26,0.31,0.16,0.47,0.16,0.31,0.31,0.16,0.47,0.13,0.29,standard
ESP-La Liga,2024,Alavés,Jon Guridi,ESP,"MF,FW",30-042,1995,26,20,1595,17.7,3,1,4,2,1,1,5,0,3.0,2.2,1.1,3.3,22,67,63,0.17,0.06,0.23,0.11,0.17,0.17,0.06,0.23,0.12,0.18,standard
ESP-La Liga,2024,Alavés,Kiké,ESP,FW,35-137,1989,28,22,1954,21.7,11,0,11,9,2,2,5,1,7.3,5.7,0.9,6.6,17,41,108,0.51,0.0,0.51,0.41,0.41,0.33,0.04,0.38,0.26,0.31,standard
ESP-La Liga,2024,Alavés,Luis Rioja,ESP,FW,31-177,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,standard
ESP-La Liga,2024,Alavés,Luka Romero,ARG,"FW,MF",20-144,2004,6,2,199,2.2,0,0,0,0,0,1,0,0,0.8,0.0,0.2,0.2,3,0,12,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.45,0.01,0.09,standard
ESP-La Liga,2024,Alavés,Manu Sánchez,ESP,DF,24-230,2000,26,23,2044,22.7,1,0,1,1,0,0,6,0,1.7,1.7,0.6,2.2,37,64,77,0.04,0.0,0.04,0.04,0.04,0.07,0.03,0.1,0.07,0.1,standard
ESP-La Liga,2024,Alavés,Moussa Diarra,MLI,DF,24-152,2000,23,18,1671,18.6,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.2,11,66,24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,standard
ESP-La Liga,2024,Alavés,Nahuel Tenaglia,ARG,DF,29-049,1996,26,26,2273,25.3,1,1,2,1,0,0,10,0,1.7,1.7,1.1,2.8,33,72,75,0.04,0.04,0.08,0.04,0.08,0.07,0.04,0.11,0.07,0.11,standard
ESP-La Liga,2024,Alavés,Pau Cabanes,ESP,"MF,FW",20-053,2005,4,2,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,14,4,15,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard
ESP-La Liga,2024,Alavés,Pica,ESP,DF,23-100,2002,8,5,487,5.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,15,0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,standard
ESP-La Liga,2024,Alavés,Santiago Mouriño,URU,DF,23-057,2002,19,14,1309,14.5,0,1,1,0,0,0,4,0,0.8,0.8,0.8,1.6,14,32,1,0.0,0.07,0.07,0.0,0.07,0.05,0.06,0.11,0.05,0.11,standard
ESP-La Liga,2024,Alavés,Stoichkov,ESP,"MF,FW",31-157,1993,16,6,699,7.8,0,1,1,0,0,0,1,0,1.1,1.1,1.2,2.3,9,26,41,0.0,0.13,0.13,0.0,0.13,0.14,0.15,0.3,0.14,0.3,standard
ESP-La Liga,2024,Alavés,Tomás Conechny,ARG,"FW,MF",27-012,1998,16,9,724,8.0,1,0,1,1,0,0,5,0,2.3,2.3,0.3,2.6,12,15,58,0.12,0.0,0.12,0.12,0.12,0.28,0.04,0.32,0.28,0.32,standard
ESP-La Liga,2024,Alavés,Toni Martínez,ESP,FW,27-285,1997,23,8,868,9.6,4,0,4,4,0,0,1,0,2.9,2.9,0.6,3.5,13,11,48,0.41,0.0,0.41,0.41,0.41,0.3,0.06,0.36,0.3,0.36,standard
ESP-La Liga,2024,Athletic Club,Adama Boiro,ESP,DF,22-293,2002,13,10,819,9.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,14,34,20,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard
ESP-La Liga,2024,Athletic Club,Adu Ares,ESP,FW,23-181,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Athletic Club,Aitor Paredes,ESP,DF,24-347,2000,18,16,1362,15.1,3,0,3,3,0,0,4,1,2.2,2.2,0.1,2.3,3,38,1,0.2,0.0,0.2,0.2,0.2,0.15,0.0,0.15,0.15,0.15,standard
ESP-La Liga,2024,Athletic Club,Alex Padilla,ESP,GK,21-222,2003,5,3,321,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
ESP-La Liga,2024,Athletic Club,Ander Herrera,ESP,MF,35-240,1989,8,2,273,3.0,0,0,0,0,0,1,2,0,1.7,0.9,0.1,1.1,2,16,5,0.0,0.0,0.0,0.0,0.0,0.57,0.04,0.61,0.31,0.35,standard
ESP-La Liga,2024,Athletic Club,Andoni Gorosabel,ESP,DF,28-250,1996,16,13,1130,12.6,0,2,2,0,0,0,4,0,0.3,0.3,1.6,2.0,14,44,46,0.0,0.16,0.16,0.0,0.16,0.03,0.13,0.16,0.03,0.16,standard
ESP-La Liga,2024,Athletic Club,Beñat Prados,ESP,MF,24-062,2001,24,17,1385,15.4,1,0,1,1,0,0,6,0,0.9,0.9,1.1,2.0,15,61,29,0.06,0.0,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,standard
ESP-La Liga,2024,Athletic Club,Daniel Vivian,ESP,DF,25-270,1999,24,22,2035,22.6,3,0,3,3,0,0,2,0,1.5,1.5,0.3,1.8,33,141,6,0.13,0.0,0.13,0.13,0.13,0.07,0.01,0.08,0.07,0.08,standard
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
