league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
FRA-Ligue 1,2020,Angers,Angelo Fulgini,FRA,MF,23,1996,30.3,4,0,0,29,133,3,100,15,13,0,0,0,164,20,44,31.3,misc
FRA-Ligue 1,2020,Angers,Antonin Bobichon,FRA,"MF,FW",24,1995,10.1,0,0,0,14,16,0,43,2,14,1,0,0,58,8,12,40.0,misc
FRA-Ligue 1,2020,Angers,Baptiste Santamaria,FRA,MF,25,1995,3.0,1,0,0,7,5,1,1,7,6,0,0,0,25,6,5,54.5,misc
FRA-Ligue 1,2020,Angers,Casimir Ninga,CHA,FW,27,1993,0.3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0.0,misc
FRA-Ligue 1,2020,Angers,Enzo Ebosse,CMR,DF,21,1999,2.9,1,0,0,3,4,0,4,2,3,0,0,0,14,2,2,50.0,misc
FRA-Ligue 1,2020,Angers,Farid El Melali,ALG,"FW,MF",23,1997,4.6,1,0,0,8,15,1,8,6,5,1,0,0,30,2,8,20.0,misc
FRA-Ligue 1,2020,Angers,Ibrahim Amadou,FRA,MF,27,1993,16.7,6,0,0,34,5,0,4,23,26,0,0,0,98,19,17,52.8,misc
FRA-Ligue 1,2020,Angers,Ismaël Traoré,CIV,DF,33,1986,33.3,3,0,0,21,11,0,4,40,14,0,0,0,214,36,41,46.8,misc
FRA-Ligue 1,2020,Angers,Jimmy Cabot,FRA,"FW,MF",26,1994,10.5,1,0,0,16,11,1,26,12,13,0,0,0,65,1,7,12.5,misc
FRA-Ligue 1,2020,Angers,Lassana Coulibaly,MLI,MF,24,1996,18.7,4,1,0,26,31,0,12,33,41,0,0,0,130,28,26,51.9,misc
FRA-Ligue 1,2020,Angers,Lois Diony,FRA,FW,27,1992,19.4,2,0,0,22,35,5,38,5,10,1,0,0,34,46,77,37.4,misc
FRA-Ligue 1,2020,Angers,Mateo Pavlović,BIH,DF,30,1990,12.3,3,0,0,16,2,0,0,21,6,0,0,0,59,23,19,54.8,misc
