league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
FRA-Ligue 1,2023,Brest,Achraf Dari,MAR,"DF,FW",24,1999,1.3,1,1,1,0,0,0,2,0.0,2,2,0,2,5,6,9,1,defense
FRA-Ligue 1,2023,Brest,Adrien Lebeau,FRA,"MF,FW",24,1999,0.6,0,0,0,0,0,0,3,0.0,3,2,1,1,0,0,1,0,defense
FRA-Ligue 1,2023,Brest,Axel Camblan,FRA,FW,19,2003,1.0,3,1,0,2,1,2,4,50.0,2,2,0,2,0,3,0,0,defense
FRA-Ligue 1,2023,Brest,Bilal Brahimi,ALG,"FW,MF",23,2000,2.5,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,0,0,defense
FRA-Ligue 1,2023,Brest,Bradley Locko,FRA,DF,21,2002,32.9,97,55,57,34,6,47,80,58.8,33,28,1,27,40,137,69,0,defense
FRA-Ligue 1,2023,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,57,34,33,22,2,32,63,50.8,31,58,34,24,53,110,139,3,defense
FRA-Ligue 1,2023,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Brest,Hianga Mananga Mbock,FRA,"MF,FW",23,1999,0.1,1,0,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0,defense
FRA-Ligue 1,2023,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,49,27,18,26,5,24,58,41.4,34,19,1,18,18,67,18,0,defense
FRA-Ligue 1,2023,Brest,Jonas Martin,FRA,MF,33,1990,13.4,43,27,17,24,2,21,36,58.3,15,16,2,14,9,52,28,2,defense
FRA-Ligue 1,2023,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0,defense
FRA-Ligue 1,2023,Brest,Julien Le Cardinal,FRA,DF,25,1997,5.3,19,11,11,7,1,8,12,66.7,4,6,3,3,13,32,26,0,defense
FRA-Ligue 1,2023,Brest,Jérémy Le Douaron,FRA,FW,25,1998,18.0,21,10,7,9,5,11,26,42.3,15,14,1,13,2,23,10,0,defense
FRA-Ligue 1,2023,Brest,Kamory Doumbia,MLI,MF,20,2003,9.8,28,18,8,10,10,10,29,34.5,19,14,0,14,9,37,6,0,defense
FRA-Ligue 1,2023,Brest,Karamoko Dembélé,ENG,"MF,FW",20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Brest,Kenny Lala,MAD,DF,31,1991,33.0,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,defense
FRA-Ligue 1,2023,Brest,Lilian Brassier,FRA,DF,23,1999,29.7,31,18,18,13,0,12,24,50.0,12,28,21,7,41,72,93,0,defense
FRA-Ligue 1,2023,Brest,Luc Zogbé,CIV,DF,18,2005,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,defense
FRA-Ligue 1,2023,Brest,Mahdi Camara,FRA,MF,25,1998,22.4,55,39,8,40,7,20,49,40.8,29,24,1,23,27,82,19,0,defense
FRA-Ligue 1,2023,Brest,Marco Bizot,NED,GK,32,1991,32.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,18,3,defense
FRA-Ligue 1,2023,Brest,Martin Satriano,URU,FW,22,2001,20.7,24,16,6,13,5,10,25,40.0,15,19,7,12,7,31,28,0,defense
FRA-Ligue 1,2023,Brest,Mathias Pereira Lage,POR,"FW,MF",26,1996,13.2,21,15,7,8,6,7,28,25.0,21,14,5,9,10,31,13,0,defense
FRA-Ligue 1,2023,Brest,Pierre Lees-Melou,FRA,MF,30,1993,28.0,96,67,51,41,4,49,129,38.0,80,61,11,50,43,139,64,3,defense
FRA-Ligue 1,2023,Brest,Romain Del Castillo,FRA,FW,27,1996,27.7,46,29,14,18,14,18,70,25.7,52,33,1,32,9,55,8,0,defense
FRA-Ligue 1,2023,Brest,Steve Mounié,BEN,FW,28,1994,19.7,8,7,0,3,5,3,11,27.3,8,13,3,10,2,10,18,0,defense
FRA-Ligue 1,2023,Clermont Foot,Abdellah Baallal,MAR,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
FRA-Ligue 1,2023,Clermont Foot,Alan Virginius,FRA,FW,20,2003,10.4,9,5,4,4,1,4,11,36.4,7,7,0,7,3,12,7,0,defense
FRA-Ligue 1,2023,Clermont Foot,Alidu Seidu,GHA,DF,23,2000,12.6,32,24,17,15,0,24,31,77.4,7,15,7,8,25,57,37,0,defense
FRA-Ligue 1,2023,Clermont Foot,Andy Pelmard,FRA,DF,23,2000,33.2,51,38,41,9,1,32,40,80.0,8,37,20,17,33,84,99,2,defense
FRA-Ligue 1,2023,Clermont Foot,Aïman Maurer,MAR,"MF,FW",18,2004,0.6,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,defense
FRA-Ligue 1,2023,Clermont Foot,Bilal Boutobba,FRA,"FW,MF",24,1998,10.3,22,12,6,10,6,10,23,43.5,13,9,0,9,8,30,3,0,defense
FRA-Ligue 1,2023,Clermont Foot,Cheick Konaté,MLI,DF,19,2004,11.9,26,15,17,9,0,20,36,55.6,16,16,2,14,13,39,21,0,defense
FRA-Ligue 1,2023,Clermont Foot,Chrislain Matsima,FRA,DF,21,2002,13.1,18,11,11,7,0,10,18,55.6,8,14,10,4,13,31,74,1,defense
FRA-Ligue 1,2023,Clermont Foot,Elba Rashani,KVX,"MF,FW",30,1993,13.1,30,18,4,17,9,11,24,45.8,13,17,3,14,12,42,15,0,defense
FRA-Ligue 1,2023,Clermont Foot,Florent Ogier,FRA,DF,34,1989,10.5,19,9,13,6,0,11,18,61.1,7,25,19,6,9,28,35,3,defense
