league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
FRA-Ligue 1,2023,Brest,Achraf Dari,MAR,"DF,FW",24,1999,1.3,0,0,0,2,1,0,0,5,1,0,0,0,9,4,0,100.0,misc
FRA-Ligue 1,2023,Brest,Adrien Lebeau,FRA,"MF,FW",24,1999,0.6,0,0,0,1,2,0,3,0,0,0,0,0,5,0,3,0.0,misc
FRA-Ligue 1,2023,Brest,Axel Camblan,FRA,FW,19,2003,1.0,2,0,0,3,1,0,1,0,1,0,0,0,4,1,6,14.3,misc
FRA-Ligue 1,2023,Brest,Bilal Brahimi,ALG,"FW,MF",23,2000,2.5,1,1,0,3,4,2,32,0,0,0,0,0,14,1,1,50.0,misc
FRA-Ligue 1,2023,Brest,Bradley Locko,FRA,DF,21,2002,32.9,5,0,0,26,42,1,94,40,55,0,0,0,213,30,25,54.5,misc
FRA-Ligue 1,2023,Brest,Brendan Chardonnet,FRA,DF,28,1994,33.0,4,0,0,35,23,0,13,53,34,0,0,0,174,86,54,61.4,misc
FRA-Ligue 1,2023,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
FRA-Ligue 1,2023,Brest,Hianga Mananga Mbock,FRA,"MF,FW",23,1999,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,misc
FRA-Ligue 1,2023,Brest,Hugo Magnetti,FRA,MF,25,1998,26.0,6,0,0,21,17,2,20,18,27,0,0,0,156,13,23,36.1,misc
FRA-Ligue 1,2023,Brest,Jonas Martin,FRA,MF,33,1990,13.4,5,0,0,27,11,1,7,9,27,0,0,0,109,25,15,62.5,misc
FRA-Ligue 1,2023,Brest,Jordan Amavi,FRA,DF,29,1994,1.0,1,0,0,2,0,0,1,3,1,0,0,0,7,1,0,100.0,misc
