league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2024,Angers,Bamba Dieng,SEN,FW,25-019,2000.0,5.9,4,1,1,2,1,0,2,0.0,2,2,0,2,0,4,3,0,defense
FRA-Ligue 1,2024,Angers,Carlens Arcus,HAI,DF,28-287,1996.0,18.8,43,29,27,13,3,26,44,59.1,18,20,3,17,24,67,66,2,defense
FRA-Ligue 1,2024,Angers,Cédric Hountondji,BEN,DF,31-082,1994.0,3.0,6,4,4,2,0,3,7,42.9,4,3,3,0,4,10,14,0,defense
FRA-Ligue 1,2024,Angers,Emmanuel Biumla,FRA,DF,19-338,2005.0,14.6,19,12,14,5,0,12,18,66.7,6,18,8,10,8,27,83,1,defense
FRA-Ligue 1,2024,Angers,Esteban Lepaul,FRA,FW,24-358,2000.0,12.2,6,3,0,3,3,2,11,18.2,9,12,2,10,2,8,8,0,defense
FRA-Ligue 1,2024,Angers,Farid El Melali,ALG,FW,27-341,1997.0,18.7,26,14,14,6,6,11,30,36.7,19,16,1,15,13,39,12,1,defense
FRA-Ligue 1,2024,Angers,Florent Hanin,ALG,DF,35-066,1990.0,24.1,52,40,32,13,7,29,53,54.7,24,26,9,17,42,94,83,2,defense
FRA-Ligue 1,2024,Angers,Haris Belkebla,ALG,MF,31-073,1994.0,19.9,56,38,38,15,3,26,45,57.8,19,30,9,21,35,91,46,1,defense
FRA-Ligue 1,2024,Angers,Himad Abdelli,ALG,"MF,FW",25-145,1999.0,25.7,39,27,8,18,13,13,38,34.2,25,19,1,18,20,59,21,1,defense
FRA-Ligue 1,2024,Angers,Ibrahima Niane,SEN,FW,26-031,1999.0,10.0,6,3,3,2,1,3,3,100.0,0,5,1,4,2,8,4,2,defense
FRA-Ligue 1,2024,Angers,Jacques Ekomie,GAB,DF,21-235,2003.0,4.6,14,9,6,6,2,4,7,57.1,3,11,1,10,3,17,11,0,defense
FRA-Ligue 1,2024,Angers,Jean-Eudes Aholou,CIV,MF,31-022,1994.0,21.0,53,34,25,19,9,21,45,46.7,24,32,14,18,33,86,31,0,defense
FRA-Ligue 1,2024,Angers,Jim Allevinah,GAB,FW,30-043,1995.0,16.8,15,9,5,7,3,3,21,14.3,18,9,0,9,10,25,16,0,defense
FRA-Ligue 1,2024,Angers,Jordan Lefort,FRA,DF,31-245,1993.0,28.0,47,29,38,8,1,29,42,69.0,13,46,29,17,27,74,171,1,defense
FRA-Ligue 1,2024,Angers,Justin-Noël Kalumba,FRA,"FW,MF",20-107,2004.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,defense
FRA-Ligue 1,2024,Angers,Lilian Raolisoa,FRA,"DF,FW",24-299,2000.0,10.0,31,19,20,9,2,13,28,46.4,15,8,2,6,10,41,36,0,defense
FRA-Ligue 1,2024,Angers,Lois Diony,FRA,FW,32-112,1992.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Angers,Marius Courcoul,FRA,"DF,MF",18-100,2007.0,0.5,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,defense
FRA-Ligue 1,2024,Angers,Pierrick Capelle,FRA,MF,37-361,1987.0,5.4,24,17,10,9,5,9,18,50.0,9,4,1,3,11,35,5,1,defense
FRA-Ligue 1,2024,Angers,Sidiki Cherif,FRA,FW,18-117,2006.0,3.6,5,5,1,3,1,3,4,75.0,1,4,1,3,0,5,0,1,defense
FRA-Ligue 1,2024,Angers,Yahia Fofana,CIV,GK,24-233,2000.0,28.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,20,2,defense
FRA-Ligue 1,2024,Angers,Yassin Belkhdim,FRA,MF,23-056,2002.0,12.1,43,22,21,16,6,21,46,45.7,25,19,6,13,16,59,29,1,defense
FRA-Ligue 1,2024,Angers,Zinedine Ferhat,ALG,"FW,MF",32-041,1993.0,7.9,6,4,1,3,2,3,11,27.3,8,8,0,8,8,14,11,0,defense
FRA-Ligue 1,2024,Angers,Zinédine Ould Khaled,FRA,MF,25-087,2000.0,1.1,3,2,2,1,0,0,3,0.0,3,3,0,3,0,3,4,0,defense
FRA-Ligue 1,2024,Auxerre,Ado Onaiwu,JPN,"MF,FW",29-154,1995.0,7.9,6,5,1,5,0,2,7,28.6,5,4,0,4,2,8,10,0,defense
FRA-Ligue 1,2024,Auxerre,Aristide Zossou,CIV,MF,19-301,2005.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Auxerre,Assane Dioussé,SEN,MF,27-203,1997.0,3.4,10,3,6,4,0,3,6,50.0,3,2,1,1,8,18,8,0,defense
FRA-Ligue 1,2024,Auxerre,Ben Viadere,FRA,MF,19-221,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Auxerre,Clément Akpa,CIV,DF,23-138,2001.0,22.4,51,33,33,12,6,29,42,69.0,13,36,13,23,33,84,118,2,defense
FRA-Ligue 1,2024,Auxerre,Donovan Léon,GUF,GK,32-159,1992.0,26.0,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,20,1,defense
FRA-Ligue 1,2024,Auxerre,Elisha Owusu,GHA,MF,27-155,1997.0,24.3,71,39,27,39,5,31,46,67.4,15,33,9,24,41,112,34,1,defense
FRA-Ligue 1,2024,Auxerre,Eros Maddy,NED,DF,24-065,2001.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Auxerre,Florian Ayé,FRA,"FW,MF",28-082,1997.0,5.2,2,2,0,0,2,0,2,0.0,2,5,0,5,4,6,6,0,defense
FRA-Ligue 1,2024,Auxerre,Fredrik Oppegard,NOR,DF,22-247,2002.0,1.7,4,3,2,1,1,3,7,42.9,4,2,1,1,1,5,6,0,defense
FRA-Ligue 1,2024,Auxerre,Gabriel Osho,NGA,DF,26-240,1998.0,17.4,22,14,16,3,3,12,19,63.2,7,30,17,13,12,34,79,0,defense
FRA-Ligue 1,2024,Auxerre,Gaëtan Perrin,FRA,"MF,FW",28-308,1996.0,24.0,48,26,22,12,14,21,45,46.7,24,10,0,10,12,60,4,0,defense
FRA-Ligue 1,2024,Auxerre,Gideon Mensah,GHA,DF,26-267,1998.0,20.6,56,36,27,20,9,26,53,49.1,27,22,4,18,40,96,69,0,defense
FRA-Ligue 1,2024,Auxerre,Hamed Junior Traorè,CIV,MF,25-054,2000.0,21.7,41,20,11,17,13,16,53,30.2,37,14,0,14,6,47,11,0,defense
FRA-Ligue 1,2024,Auxerre,Han-Noah Massengo,FRA,MF,23-278,2001.0,6.9,12,7,5,4,3,6,8,75.0,2,6,2,4,9,21,6,1,defense
FRA-Ligue 1,2024,Auxerre,Jubal,BRA,DF,31-225,1993.0,24.4,53,34,43,9,1,25,36,69.4,11,55,30,25,19,72,168,1,defense
FRA-Ligue 1,2024,Auxerre,Ki-Jana Hoever,NED,DF,23-083,2002.0,19.8,47,34,25,14,8,27,49,55.1,22,29,3,26,18,65,58,0,defense
FRA-Ligue 1,2024,Auxerre,Kévin Danois,FRA,MF,20-287,2004.0,15.3,48,29,20,21,7,20,46,43.5,26,16,3,13,19,67,20,0,defense
FRA-Ligue 1,2024,Auxerre,Lassine Sinayoko,MLI,"FW,MF",25-124,1999.0,19.8,26,16,7,11,8,11,20,55.0,9,14,2,12,9,35,32,0,defense
FRA-Ligue 1,2024,Auxerre,Lasso Coulibaly,GHA,"FW,MF",22-174,2002.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
