league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
FRA-Ligue 1,2024,Angers,Abdoulaye Bamba,CIV,DF,34-351,1990,13.8,426,480,88.8,8631,2849,106,118,89.8,279,294,94.9,37,58,63.8,0,0.3,0.3,-0.3,6,18,4,3,14,passing
FRA-Ligue 1,2024,Angers,Bamba Dieng,SEN,FW,25-019,2000,5.9,80,103,77.7,931,140,52,60,86.7,20,30,66.7,0,2,0.0,0,0.0,0.2,0.0,1,2,3,1,7,passing
FRA-Ligue 1,2024,Angers,Carlens Arcus,HAI,DF,28-287,1996,18.8,687,867,79.2,11531,4068,335,375,89.3,283,360,78.6,60,95,63.2,1,1.2,1.2,-0.2,15,51,19,9,60,passing
FRA-Ligue 1,2024,Angers,Cédric Hountondji,BEN,DF,31-082,1994,3.0,85,100,85.0,1652,391,25,30,83.3,53,57,93.0,6,12,50.0,0,0.0,0.0,0.0,0,3,0,0,1,passing
FRA-Ligue 1,2024,Angers,Emmanuel Biumla,FRA,DF,19-338,2005,14.6,439,497,88.3,8819,2629,108,123,87.8,299,314,95.2,29,52,55.8,0,0.0,0.1,0.0,1,13,1,0,16,passing
FRA-Ligue 1,2024,Angers,Esteban Lepaul,FRA,FW,24-358,2000,12.2,168,241,69.7,2391,356,89,113,78.8,58,78,74.4,8,18,44.4,0,0.8,1.1,-0.8,5,10,5,2,11,passing
FRA-Ligue 1,2024,Angers,Farid El Melali,ALG,FW,27-341,1997,18.7,319,459,69.5,4751,1440,189,221,85.5,84,123,68.3,29,72,40.3,2,2.9,2.8,-0.9,22,10,12,2,32,passing
FRA-Ligue 1,2024,Angers,Florent Hanin,ALG,DF,35-066,1990,24.1,1032,1348,76.6,16585,7098,570,639,89.2,354,475,74.5,88,170,51.8,2,1.7,2.0,0.3,22,78,27,17,83,passing
FRA-Ligue 1,2024,Angers,Haris Belkebla,ALG,MF,31-073,1994,19.9,727,830,87.6,11935,3432,353,383,92.2,310,344,90.1,47,62,75.8,1,0.9,0.3,0.1,5,68,3,0,69,passing
FRA-Ligue 1,2024,Angers,Himad Abdelli,ALG,"MF,FW",25-145,1999,25.7,1150,1393,82.6,17725,4912,609,686,88.8,432,496,87.1,64,122,52.5,1,3.0,3.1,-2.0,33,131,33,2,171,passing
FRA-Ligue 1,2024,Angers,Ibrahima Niane,SEN,FW,26-031,1999,10.0,124,182,68.1,1646,278,77,101,76.2,28,43,65.1,7,12,58.3,1,1.0,0.4,0.0,9,12,2,0,8,passing
FRA-Ligue 1,2024,Angers,Jacques Ekomie,GAB,DF,21-235,2003,4.6,121,179,67.6,1606,771,79,89,88.8,33,52,63.5,5,17,29.4,0,0.0,0.0,0.0,0,4,0,0,10,passing
FRA-Ligue 1,2024,Angers,Jean-Eudes Aholou,CIV,MF,31-022,1994,21.0,631,748,84.4,10008,2628,310,350,88.6,284,318,89.3,21,46,45.7,0,1.0,0.7,-1.0,10,45,7,0,67,passing
FRA-Ligue 1,2024,Angers,Jim Allevinah,GAB,FW,30-043,1995,16.8,311,419,74.2,4474,1099,190,224,84.8,95,136,69.9,16,28,57.1,3,2.4,1.6,0.6,14,25,12,3,42,passing
FRA-Ligue 1,2024,Angers,Jordan Lefort,FRA,DF,31-245,1993,28.0,1186,1434,82.7,22597,11089,453,489,92.6,604,658,91.8,122,245,49.8,1,1.1,1.2,-0.1,9,79,11,4,76,passing
FRA-Ligue 1,2024,Angers,Justin-Noël Kalumba,FRA,"FW,MF",20-107,2004,0.3,9,11,81.8,108,2,6,7,85.7,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Angers,Lilian Raolisoa,FRA,"DF,FW",24-299,2000,10.0,285,412,69.2,4808,2319,134,156,85.9,116,163,71.2,26,60,43.3,2,1.4,1.1,0.6,8,24,13,7,35,passing
FRA-Ligue 1,2024,Angers,Lois Diony,FRA,FW,32-112,1992,0.2,1,4,25.0,9,0,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Angers,Marius Courcoul,FRA,"DF,MF",18-100,2007,0.5,31,41,75.6,517,187,15,17,88.2,13,17,76.5,2,5,40.0,0,0.0,0.0,0.0,0,2,1,0,3,passing
FRA-Ligue 1,2024,Angers,Pierrick Capelle,FRA,MF,37-361,1987,5.4,185,231,80.1,3185,808,88,101,87.1,80,99,80.8,13,22,59.1,0,1.2,0.7,-1.2,5,19,2,1,22,passing
FRA-Ligue 1,2024,Angers,Sidiki Cherif,FRA,FW,18-117,2006,3.6,33,62,53.2,469,79,20,33,60.6,12,19,63.2,0,0,,0,0.2,0.2,-0.2,2,3,1,1,3,passing
FRA-Ligue 1,2024,Angers,Yahia Fofana,CIV,GK,24-233,2000,28.0,585,848,69.0,17070,12168,76,76,100.0,299,305,98.0,209,463,45.1,0,0.1,0.0,-0.1,1,7,0,0,0,passing
FRA-Ligue 1,2024,Angers,Yassin Belkhdim,FRA,MF,23-056,2002,12.1,295,371,79.5,4463,1090,151,172,87.8,121,145,83.4,14,26,53.8,0,0.4,0.5,-0.4,3,18,2,1,27,passing
FRA-Ligue 1,2024,Angers,Zinedine Ferhat,ALG,"FW,MF",32-041,1993,7.9,251,374,67.1,4081,1323,131,161,81.4,82,125,65.6,27,56,48.2,0,2.0,1.7,-2.0,12,17,12,3,34,passing
FRA-Ligue 1,2024,Angers,Zinédine Ould Khaled,FRA,MF,25-087,2000,1.1,26,28,92.9,425,74,14,16,87.5,11,11,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,passing
FRA-Ligue 1,2024,Auxerre,Ado Onaiwu,JPN,"MF,FW",29-154,1995,7.9,189,256,73.8,2433,576,111,143,77.6,54,67,80.6,7,10,70.0,1,0.7,0.6,0.3,7,17,7,3,21,passing
FRA-Ligue 1,2024,Auxerre,Aristide Zossou,CIV,MF,19-301,2005,0.2,16,18,88.9,230,35,7,7,100.0,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,2,passing
FRA-Ligue 1,2024,Auxerre,Assane Dioussé,SEN,MF,27-203,1997,3.4,159,174,91.4,2963,838,77,78,98.7,54,60,90.0,27,32,84.4,0,0.2,0.1,-0.2,2,15,0,0,20,passing
FRA-Ligue 1,2024,Auxerre,Ben Viadere,FRA,MF,19-221,2005,0.1,2,6,33.3,37,27,1,1,100.0,0,2,0.0,1,2,50.0,0,0.0,0.1,0.0,1,0,0,0,0,passing
FRA-Ligue 1,2024,Auxerre,Clément Akpa,CIV,DF,23-138,2001,22.4,779,957,81.4,15720,5863,271,307,88.3,395,442,89.4,105,179,58.7,1,0.9,0.9,0.1,8,62,10,5,66,passing
FRA-Ligue 1,2024,Auxerre,Donovan Léon,GUF,GK,32-159,1992,26.0,531,930,57.1,18165,14876,67,68,98.5,212,214,99.1,250,643,38.9,2,0.4,0.1,1.6,3,26,2,0,1,passing
FRA-Ligue 1,2024,Auxerre,Elisha Owusu,GHA,MF,27-155,1997,24.3,632,781,80.9,10165,2637,312,362,86.2,257,304,84.5,41,69,59.4,3,1.0,0.5,2.0,14,50,6,1,74,passing
FRA-Ligue 1,2024,Auxerre,Eros Maddy,NED,DF,24-065,2001,0.1,3,3,100.0,36,9,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Auxerre,Florian Ayé,FRA,"FW,MF",28-082,1997,5.2,84,113,74.3,1058,133,56,71,78.9,19,25,76.0,2,3,66.7,0,0.1,0.1,-0.1,2,4,2,0,5,passing
FRA-Ligue 1,2024,Auxerre,Fredrik Oppegard,NOR,DF,22-247,2002,1.7,78,96,81.3,999,242,56,61,91.8,15,21,71.4,3,8,37.5,0,0.1,0.1,-0.1,1,4,2,1,6,passing
FRA-Ligue 1,2024,Auxerre,Gabriel Osho,NGA,DF,26-240,1998,17.4,656,738,88.9,12622,4507,202,218,92.7,379,406,93.3,69,99,69.7,0,0.1,0.2,-0.1,1,48,0,0,43,passing
FRA-Ligue 1,2024,Auxerre,Gaëtan Perrin,FRA,"MF,FW",28-308,1996,24.0,576,823,70.0,10617,3946,274,335,81.8,181,240,75.4,95,181,52.5,8,6.9,4.1,1.1,61,68,26,5,112,passing
FRA-Ligue 1,2024,Auxerre,Gideon Mensah,GHA,DF,26-267,1998,20.6,807,1035,78.0,13536,5430,419,463,90.5,286,366,78.1,81,147,55.1,1,2.1,1.3,-1.1,17,50,19,9,76,passing
FRA-Ligue 1,2024,Auxerre,Hamed Junior Traorè,CIV,MF,25-054,2000,21.7,418,572,73.1,6409,2038,230,262,87.8,133,181,73.5,33,72,45.8,2,2.7,2.7,-0.7,26,47,24,4,89,passing
FRA-Ligue 1,2024,Auxerre,Han-Noah Massengo,FRA,MF,23-278,2001,6.9,244,281,86.8,3874,1048,113,124,91.1,109,118,92.4,13,24,54.2,0,0.4,0.5,-0.4,3,17,3,2,21,passing
FRA-Ligue 1,2024,Auxerre,Jubal,BRA,DF,31-225,1993,24.4,721,843,85.5,14503,4393,208,225,92.4,432,462,93.5,76,139,54.7,0,0.9,0.8,-0.9,6,26,7,0,26,passing
FRA-Ligue 1,2024,Auxerre,Ki-Jana Hoever,NED,DF,23-083,2002,19.8,621,879,70.6,10610,4218,305,369,82.7,249,354,70.3,58,99,58.6,2,2.4,1.5,-0.4,19,52,27,14,68,passing
FRA-Ligue 1,2024,Auxerre,Kévin Danois,FRA,MF,20-287,2004,15.3,558,682,81.8,9270,2530,276,316,87.3,212,248,85.5,50,77,64.9,0,2.2,2.0,-2.2,24,61,8,2,90,passing
FRA-Ligue 1,2024,Auxerre,Lassine Sinayoko,MLI,"FW,MF",25-124,1999,19.8,397,521,76.2,5254,1213,237,286,82.9,119,145,82.1,9,19,47.4,4,3.6,2.8,0.4,27,20,13,3,50,passing
FRA-Ligue 1,2024,Auxerre,Lasso Coulibaly,GHA,"FW,MF",22-174,2002,0.4,9,10,90.0,111,0,6,6,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Auxerre,Loïc N'Gatta,FRA,DF,21-121,2003,0.1,13,15,86.7,199,64,7,7,100.0,5,5,100.0,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,1,passing
