league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
FRA-Ligue 1,2024,Angers,Bamba Dieng,SEN,FW,25-019,2000.0,5.9,157,3,14,58,86,24,156,14,2,14.3,11,78.6,96,419,194,6,5,3,11,10,135,35,possession
FRA-Ligue 1,2024,Angers,Carlens Arcus,HAI,DF,28-287,1996.0,18.8,1053,67,363,478,221,9,1053,16,8,50.0,8,50.0,477,2289,1147,34,17,1,12,13,578,63,possession
FRA-Ligue 1,2024,Angers,Cédric Hountondji,BEN,DF,31-082,1994.0,3.0,127,20,65,58,4,1,127,0,0,,0,,48,201,63,0,0,0,2,0,64,0,possession
FRA-Ligue 1,2024,Angers,Emmanuel Biumla,FRA,DF,19-338,2005.0,14.6,651,117,401,238,16,8,651,12,7,58.3,4,33.3,379,2259,1288,3,2,0,10,4,419,0,possession
FRA-Ligue 1,2024,Angers,Esteban Lepaul,FRA,FW,24-358,2000.0,12.2,334,9,33,180,125,39,334,13,2,15.4,9,69.2,165,967,425,19,10,6,18,5,233,45,possession
FRA-Ligue 1,2024,Angers,Farid El Melali,ALG,FW,27-341,1997.0,18.7,740,11,135,250,379,60,740,110,50,45.5,56,50.9,423,3565,1569,56,35,29,60,38,454,99,possession
FRA-Ligue 1,2024,Angers,Florent Hanin,ALG,DF,35-066,1990.0,24.1,1606,92,548,696,377,16,1606,20,8,40.0,11,55.0,737,3375,1827,39,31,3,26,5,895,95,possession
FRA-Ligue 1,2024,Angers,Haris Belkebla,ALG,MF,31-073,1994.0,19.9,1064,67,332,630,115,6,1064,22,9,40.9,10,45.5,558,2613,1056,8,15,1,27,10,686,15,possession
FRA-Ligue 1,2024,Angers,Himad Abdelli,ALG,"MF,FW",25-145,1999.0,25.7,1653,25,229,962,499,41,1649,105,48,45.7,55,52.4,972,6213,3522,88,73,16,45,37,1202,94,possession
FRA-Ligue 1,2024,Angers,Ibrahima Niane,SEN,FW,26-031,1999.0,10.0,298,6,24,140,140,49,297,18,6,33.3,10,55.6,175,891,415,19,15,8,34,16,220,47,possession
