league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,33,18,15,14,4,12,29,41.4,17,23,1,22,15,48,21,0,defense
GER-Bundesliga,2023,Augsburg,Arne Maier,GER,MF,24,1999,11.1,14,9,5,8,1,5,14,35.7,9,19,2,17,6,20,11,0,defense
GER-Bundesliga,2023,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,0,0,0,0,0,0,2,0.0,2,8,1,7,1,1,4,0,defense
GER-Bundesliga,2023,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,30,19,14,13,3,18,36,50.0,18,32,7,25,20,50,20,0,defense
GER-Bundesliga,2023,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,24,14,5,16,3,12,40,30.0,28,28,2,26,11,35,26,0,defense
GER-Bundesliga,2023,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,5,defense
GER-Bundesliga,2023,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,14.9,23,11,9,8,6,14,28,50.0,14,30,1,29,12,35,21,0,defense
GER-Bundesliga,2023,Augsburg,Iago,BRA,DF,26,1997,18.0,36,17,22,10,4,17,33,51.5,16,39,8,31,18,54,43,0,defense
GER-Bundesliga,2023,Augsburg,Irvin Cardona,FRA,"MF,DF",25,1997,0.6,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,1,0,defense
GER-Bundesliga,2023,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,35,23,13,17,5,16,25,64.0,9,44,24,20,35,70,108,0,defense
GER-Bundesliga,2023,Augsburg,Kevin Mbabu,SUI,DF,28,1995,22.7,51,39,25,18,8,23,40,57.5,17,29,9,20,24,75,48,0,defense
GER-Bundesliga,2023,Augsburg,Kristijan Jakić,CRO,MF,26,1997,11.7,28,14,14,10,4,15,33,45.5,18,13,1,12,20,48,15,0,defense
GER-Bundesliga,2023,Augsburg,Mads Pedersen,DEN,DF,26,1996,19.8,64,39,31,27,6,24,44,54.5,20,20,3,17,19,83,46,0,defense
GER-Bundesliga,2023,Augsburg,Mahmut Kücüksahin,,MF,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2023,Augsburg,Masaya Okugawa,JPN,"FW,DF",27,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
GER-Bundesliga,2023,Augsburg,Maximilian Bauer,GER,DF,23,2000,9.0,19,12,13,4,2,9,17,52.9,8,14,8,6,11,30,30,1,defense
GER-Bundesliga,2023,Augsburg,Mergim Berisha,GER,FW,25,1998,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,defense
GER-Bundesliga,2023,Augsburg,Mert Kömür,GER,"MF,DF",18,2005,1.3,3,3,3,0,0,3,5,60.0,2,0,0,0,0,3,1,0,defense
GER-Bundesliga,2023,Augsburg,Nathanael Mbuku,COD,FW,21,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
GER-Bundesliga,2023,Augsburg,Niklas Dorsch,GER,MF,25,1998,15.4,35,24,13,21,1,13,33,39.4,20,15,9,6,16,51,27,0,defense
GER-Bundesliga,2023,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,32.5,37,21,18,14,5,16,25,64.0,9,45,35,10,46,83,178,2,defense
GER-Bundesliga,2023,Augsburg,Patric Pfeiffer,GER,DF,23,1999,5.7,11,7,6,4,1,5,6,83.3,1,10,6,4,11,22,21,0,defense
GER-Bundesliga,2023,Augsburg,Pep Biel,ESP,"MF,FW",26,1996,3.2,4,3,0,2,2,1,3,33.3,2,2,1,1,2,6,2,0,defense
GER-Bundesliga,2023,Augsburg,Phillip Tietz,GER,FW,26,1997,26.5,23,14,7,13,3,6,15,40.0,9,17,3,14,6,29,35,0,defense
GER-Bundesliga,2023,Augsburg,Robert Gumny,POL,DF,25,1998,5.3,6,5,1,3,2,1,5,20.0,4,13,5,8,7,13,15,0,defense
GER-Bundesliga,2023,Augsburg,Ruben Vargas,SUI,"MF,FW",24,1998,21.8,23,10,6,10,7,10,25,40.0,15,19,4,15,7,30,17,0,defense
GER-Bundesliga,2023,Augsburg,Sven Michel,GER,"FW,MF",33,1990,6.5,7,5,2,1,4,2,7,28.6,5,1,0,1,0,7,4,0,defense
GER-Bundesliga,2023,Augsburg,Tim Breithaupt,GER,MF,21,2002,7.0,20,11,11,9,0,13,21,61.9,8,15,3,12,8,28,10,0,defense
GER-Bundesliga,2023,Augsburg,Tomáš Koubek,CZE,GK,30,1992,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,defense
GER-Bundesliga,2023,Bayern Munich,Aleksandar Pavlovic,GER,MF,19,2004,13.6,28,16,10,14,4,17,33,51.5,16,13,3,10,17,45,12,0,defense
GER-Bundesliga,2023,Bayern Munich,Alphonso Davies,CAN,DF,22,2000,22.9,47,24,29,13,5,30,53,56.6,23,30,4,26,26,73,49,1,defense
