league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
GER-Bundesliga,2023,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,1,1,0,24,15,1,80,15,18,2,0,0,61,12,19,38.7,misc
GER-Bundesliga,2023,Augsburg,Arne Maier,GER,MF,24,1999,11.1,0,0,0,4,4,0,85,6,9,0,1,0,58,6,4,60.0,misc
GER-Bundesliga,2023,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,2,0,0,9,7,6,3,1,0,0,0,0,12,18,15,54.5,misc
GER-Bundesliga,2023,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,4,0,0,20,42,2,21,20,19,0,0,0,125,27,26,50.9,misc
GER-Bundesliga,2023,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,7,0,0,60,35,16,10,11,14,1,0,0,107,51,89,36.4,misc
GER-Bundesliga,2023,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,4,0,0,2,4,0,0,0,0,0,2,1,64,6,3,66.7,misc
GER-Bundesliga,2023,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,14.9,1,0,0,14,2,5,91,12,11,0,1,0,60,24,21,53.3,misc
GER-Bundesliga,2023,Augsburg,Iago,BRA,DF,26,1997,18.0,4,0,0,14,23,4,44,18,17,0,2,0,117,20,18,52.6,misc
GER-Bundesliga,2023,Augsburg,Irvin Cardona,FRA,"MF,DF",25,1997,0.6,1,0,0,1,0,0,6,0,1,0,0,0,1,1,2,33.3,misc
GER-Bundesliga,2023,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,7,0,0,25,9,4,18,35,23,0,0,0,156,52,39,57.1,misc
GER-Bundesliga,2023,Augsburg,Kevin Mbabu,SUI,DF,28,1995,22.7,5,0,0,45,26,2,101,24,39,0,0,0,119,26,15,63.4,misc
GER-Bundesliga,2023,Augsburg,Kristijan Jakić,CRO,MF,26,1997,11.7,4,0,0,18,17,0,6,20,14,0,0,0,79,13,12,52.0,misc
GER-Bundesliga,2023,Augsburg,Mads Pedersen,DEN,DF,26,1996,19.8,5,1,0,34,26,2,53,19,39,0,0,0,100,10,23,30.3,misc
GER-Bundesliga,2023,Augsburg,Mahmut Kücüksahin,,MF,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Augsburg,Masaya Okugawa,JPN,"FW,DF",27,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
GER-Bundesliga,2023,Augsburg,Maximilian Bauer,GER,DF,23,2000,9.0,3,0,0,13,11,0,1,11,12,0,0,0,27,17,17,50.0,misc
GER-Bundesliga,2023,Augsburg,Mergim Berisha,GER,FW,25,1998,1.4,0,0,0,0,3,1,1,0,0,0,0,0,1,2,1,66.7,misc
GER-Bundesliga,2023,Augsburg,Mert Kömür,GER,"MF,DF",18,2005,1.3,0,0,0,2,2,0,1,0,3,0,0,0,3,0,1,0.0,misc
GER-Bundesliga,2023,Augsburg,Nathanael Mbuku,COD,FW,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Augsburg,Niklas Dorsch,GER,MF,25,1998,15.4,5,0,0,19,27,0,3,16,24,0,2,0,113,9,18,33.3,misc
GER-Bundesliga,2023,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,32.5,5,1,1,29,23,0,3,46,21,1,0,1,150,111,68,62.0,misc
GER-Bundesliga,2023,Augsburg,Patric Pfeiffer,GER,DF,23,1999,5.7,0,0,0,7,4,0,1,11,7,0,1,0,27,20,12,62.5,misc
GER-Bundesliga,2023,Augsburg,Pep Biel,ESP,"MF,FW",26,1996,3.2,1,0,0,8,0,0,14,2,3,0,0,0,19,3,3,50.0,misc
GER-Bundesliga,2023,Augsburg,Phillip Tietz,GER,FW,26,1997,26.5,1,0,0,42,17,16,6,6,14,0,0,0,88,105,125,45.7,misc
GER-Bundesliga,2023,Augsburg,Robert Gumny,POL,DF,25,1998,5.3,3,0,0,7,5,0,8,7,5,0,0,0,22,3,2,60.0,misc
GER-Bundesliga,2023,Augsburg,Ruben Vargas,SUI,"MF,FW",24,1998,21.8,3,0,0,33,28,18,63,7,10,1,1,0,84,21,32,39.6,misc
GER-Bundesliga,2023,Augsburg,Sven Michel,GER,"FW,MF",33,1990,6.5,2,0,0,12,4,4,10,0,5,0,0,0,22,18,30,37.5,misc
GER-Bundesliga,2023,Augsburg,Tim Breithaupt,GER,MF,21,2002,7.0,3,0,0,12,4,0,2,8,11,0,0,0,48,11,7,61.1,misc
GER-Bundesliga,2023,Augsburg,Tomáš Koubek,CZE,GK,30,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Aleksandar Pavlovic,GER,MF,19,2004,13.6,6,0,0,20,16,0,18,17,16,0,0,0,75,10,13,43.5,misc
GER-Bundesliga,2023,Bayern Munich,Alphonso Davies,CAN,DF,22,2000,22.9,0,0,0,16,20,0,31,26,24,0,1,0,179,14,9,60.9,misc
GER-Bundesliga,2023,Bayern Munich,Bouna Sarr,SEN,DF,31,1992,1.2,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,50.0,misc
GER-Bundesliga,2023,Bayern Munich,Bryan Zaragoza,ESP,"FW,MF",22,2001,2.0,1,0,0,2,1,1,10,2,4,0,0,0,4,1,0,100.0,misc
GER-Bundesliga,2023,Bayern Munich,Daniel Peretz,ISR,GK,23,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Dayot Upamecano,FRA,DF,24,1998,19.6,3,1,1,22,8,2,3,19,21,0,1,0,156,42,25,62.7,misc
GER-Bundesliga,2023,Bayern Munich,Eric Dier,ENG,DF,29,1994,13.0,1,0,0,12,9,1,7,10,8,0,0,0,66,34,15,69.4,misc
GER-Bundesliga,2023,Bayern Munich,Eric Maxim Choupo-Moting,CMR,"MF,FW",34,1989,8.0,1,0,0,10,7,2,11,7,12,0,0,0,41,15,9,62.5,misc
GER-Bundesliga,2023,Bayern Munich,Frans Krätzig,GER,DF,20,2003,0.6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Harry Kane,ENG,FW,30,1993,31.5,2,0,0,10,39,13,31,6,9,0,0,0,55,30,34,46.9,misc
GER-Bundesliga,2023,Bayern Munich,Jamal Musiala,GER,"MF,FW",20,2003,19.5,2,0,0,26,39,2,11,16,25,0,0,0,91,7,11,38.9,misc
GER-Bundesliga,2023,Bayern Munich,Jonathan Asp Jensen,DEN,FW,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Joshua Kimmich,GER,"MF,DF",28,1995,24.2,1,1,0,11,24,2,195,14,33,0,0,0,140,5,14,26.3,misc
GER-Bundesliga,2023,Bayern Munich,Kim Min-jae,KOR,DF,26,1996,21.9,3,0,0,19,2,1,2,45,24,0,0,0,143,75,29,72.1,misc
GER-Bundesliga,2023,Bayern Munich,Kingsley Coman,FRA,FW,27,1996,12.4,1,0,0,6,19,1,60,2,7,0,0,0,50,6,5,54.5,misc
GER-Bundesliga,2023,Bayern Munich,Konrad Laimer,AUT,"DF,MF",26,1997,19.7,3,0,0,28,15,2,31,18,36,0,0,0,114,12,19,38.7,misc
GER-Bundesliga,2023,Bayern Munich,Leon Goretzka,GER,MF,28,1995,24.9,3,0,0,23,14,2,10,31,23,0,0,0,171,36,29,55.4,misc
GER-Bundesliga,2023,Bayern Munich,Leroy Sané,GER,FW,27,1996,23.7,4,0,0,26,21,10,86,7,8,0,0,0,97,3,2,60.0,misc
GER-Bundesliga,2023,Bayern Munich,Lovro Zvonarek,CRO,"FW,MF",18,2005,1.8,0,0,0,3,0,1,1,0,0,0,0,0,6,2,5,28.6,misc
GER-Bundesliga,2023,Bayern Munich,Manuel Neuer,GER,GK,37,1986,22.8,1,0,0,1,2,0,0,0,1,0,1,0,31,6,3,66.7,misc
GER-Bundesliga,2023,Bayern Munich,Mathys Tel,FRA,"FW,MF",18,2005,11.7,2,0,0,18,15,3,18,6,2,0,0,0,42,14,13,51.9,misc
GER-Bundesliga,2023,Bayern Munich,Matteo Perez Vinlöf,SWE,FW,17,2005,0.2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Matthijs de Ligt,NED,DF,23,1999,15.4,5,0,0,12,8,0,2,19,12,0,0,0,73,41,28,59.4,misc
GER-Bundesliga,2023,Bayern Munich,Noussair Mazraoui,MAR,DF,25,1997,13.3,3,0,0,10,11,0,19,20,21,0,0,0,63,19,21,47.5,misc
GER-Bundesliga,2023,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",29,1993,13.2,2,0,0,3,7,0,42,15,16,0,0,0,59,2,5,28.6,misc
GER-Bundesliga,2023,Bayern Munich,Ryan Gravenberch,NED,FW,21,2002,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
GER-Bundesliga,2023,Bayern Munich,Sacha Boey,FRA,DF,22,2000,1.2,1,0,0,6,3,0,0,1,0,0,0,0,6,1,2,33.3,misc
GER-Bundesliga,2023,Bayern Munich,Serge Gnabry,GER,"FW,MF",28,1995,4.8,0,0,0,6,3,1,10,3,5,1,0,0,26,3,2,60.0,misc
GER-Bundesliga,2023,Bayern Munich,Sven Ulreich,GER,GK,34,1988,11.0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,100.0,misc
GER-Bundesliga,2023,Bayern Munich,Thomas Müller,GER,"MF,FW",33,1989,18.4,0,0,0,12,21,15,55,3,16,1,1,0,55,30,25,54.5,misc
GER-Bundesliga,2023,Bochum,Andreas Luthe,GER,GK,36,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,misc
