league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26-309,1998,18.2,389,481,80.9,5970,1075,207,247,83.8,148,169,87.6,23,30,76.7,1,1.0,1.5,0.0,14,26,17,4,43,passing
GER-Bundesliga,2024,Augsburg,Arne Engels,BEL,"MF,FW",21-215,2003,0.9,19,27,70.4,195,57,14,16,87.5,2,3,66.7,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,1,passing
GER-Bundesliga,2024,Augsburg,Arne Maier,GER,MF,26-093,1999,9.2,385,507,75.9,6832,1850,176,207,85.0,153,184,83.2,47,84,56.0,0,1.4,2.3,-1.4,23,33,7,2,33,passing
GER-Bundesliga,2024,Augsburg,Cedric Zesiger,SUI,DF,26-291,1998,9.1,278,366,76.0,5506,2249,98,113,86.7,149,174,85.6,29,59,49.2,2,0.8,0.8,1.2,4,29,4,2,25,passing
GER-Bundesliga,2024,Augsburg,Chrislain Matsima,FRA,DF,22-331,2002,22.3,836,988,84.6,14649,4928,347,395,87.8,425,465,91.4,51,93,54.8,0,0.1,0.4,-0.1,3,70,6,0,66,passing
GER-Bundesliga,2024,Augsburg,Dimitris Giannoulis,GRE,DF,29-176,1995,23.8,835,1115,74.9,13918,5769,414,479,86.4,349,439,79.5,60,131,45.8,4,3.2,4.5,0.8,26,52,37,14,83,passing
GER-Bundesliga,2024,Augsburg,Elvis Rexhbeçaj,KVX,MF,27-161,1997,18.5,432,616,70.1,7248,2099,203,248,81.9,184,236,78.0,34,76,44.7,1,0.8,1.7,0.2,13,36,21,2,87,passing
GER-Bundesliga,2024,Augsburg,Finn Dahmen,GER,GK,27-015,1998,13.0,358,522,68.6,11077,8241,58,59,98.3,160,162,98.8,140,301,46.5,0,0.0,0.0,0.0,0,10,0,0,2,passing
GER-Bundesliga,2024,Augsburg,Frank Onyeka,NGA,MF,27-100,1998,23.1,646,786,82.2,10403,2481,328,372,88.2,262,300,87.3,43,67,64.2,1,1.1,1.7,-0.1,13,56,10,4,77,passing
GER-Bundesliga,2024,Augsburg,Fredrik Jensen,FIN,MF,27-214,1997,7.2,133,193,68.9,2295,578,69,90,76.7,48,63,76.2,14,20,70.0,0,0.7,0.6,-0.7,10,6,6,3,18,passing
GER-Bundesliga,2024,Augsburg,Henri Koudossou,GER,DF,25-220,1999,6.9,219,284,77.1,3408,1216,120,134,89.6,80,106,75.5,14,28,50.0,0,0.5,0.4,-0.5,6,5,7,3,15,passing
GER-Bundesliga,2024,Augsburg,Jeffrey Gouweleeuw,NED,DF,33-275,1991,26.7,1078,1320,81.7,22880,10084,313,362,86.5,616,677,91.0,143,250,57.2,4,1.9,2.5,2.1,12,114,22,2,110,passing
GER-Bundesliga,2024,Augsburg,Keven Schlotterbeck,GER,DF,27-348,1997,13.4,532,636,83.6,10175,4150,195,212,92.0,286,315,90.8,48,99,48.5,1,0.6,0.5,0.4,6,39,3,1,54,passing
GER-Bundesliga,2024,Augsburg,Kristijan Jakić,CRO,MF,27-332,1997,20.0,628,776,80.9,10290,3177,313,368,85.1,254,287,88.5,46,65,70.8,1,0.6,1.4,0.4,10,63,9,0,78,passing
GER-Bundesliga,2024,Augsburg,Mads Pedersen,DEN,DF,28-222,1996,2.6,70,90,77.8,1324,613,25,26,96.2,35,45,77.8,8,12,66.7,0,0.0,0.2,0.0,0,7,2,0,11,passing
GER-Bundesliga,2024,Augsburg,Marius Wolf,GER,DF,29-319,1995,20.2,668,987,67.7,11587,5059,319,385,82.9,267,370,72.2,72,166,43.4,3,2.6,3.5,0.4,39,64,20,11,90,passing
