league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2024,Augsburg,Arne Engels,BEL,"MF,FW",21-215,2003.0,0.9,0,3,1,33.3,3.42,1.14,0.0,0.0,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,shooting
GER-Bundesliga,2024,Augsburg,Arne Maier,GER,MF,26-093,1999.0,9.2,0,16,6,37.5,1.74,0.65,0.0,0.0,25.0,3,0,0,1.3,1.3,0.08,-1.3,-1.3,shooting
GER-Bundesliga,2024,Augsburg,Cedric Zesiger,SUI,DF,26-291,1998.0,9.1,0,5,0,0.0,0.55,0.0,0.0,,18.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
GER-Bundesliga,2024,Augsburg,Chrislain Matsima,FRA,DF,22-331,2002.0,22.3,1,11,2,18.2,0.49,0.09,0.09,0.5,10.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4,shooting
GER-Bundesliga,2024,Augsburg,Dimitris Giannoulis,GRE,DF,29-176,1995.0,23.8,1,12,4,33.3,0.5,0.17,0.08,0.25,15.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Elvis Rexhbeçaj,KVX,MF,27-161,1997.0,18.5,1,24,5,20.8,1.3,0.27,0.04,0.2,19.4,1,0,0,1.3,1.3,0.05,-0.3,-0.3,shooting
GER-Bundesliga,2024,Augsburg,Finn Dahmen,GER,GK,27-015,1998.0,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Augsburg,Frank Onyeka,NGA,MF,27-100,1998.0,23.1,0,22,6,27.3,0.95,0.26,0.0,0.0,19.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4,shooting
GER-Bundesliga,2024,Augsburg,Fredrik Jensen,FIN,MF,27-214,1997.0,7.2,0,9,0,0.0,1.24,0.0,0.0,,16.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,shooting
GER-Bundesliga,2024,Augsburg,Henri Koudossou,GER,DF,25-220,1999.0,6.9,0,2,0,0.0,0.29,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Jeffrey Gouweleeuw,NED,DF,33-275,1991.0,26.7,1,11,2,18.2,0.41,0.07,0.09,0.5,21.2,0,0,1,1.3,0.6,0.05,-0.3,0.4,shooting
GER-Bundesliga,2024,Augsburg,Keven Schlotterbeck,GER,DF,27-348,1997.0,13.4,3,12,4,33.3,0.89,0.3,0.25,0.75,12.7,0,0,0,0.8,0.8,0.06,2.2,2.2,shooting
GER-Bundesliga,2024,Augsburg,Kristijan Jakić,CRO,MF,27-332,1997.0,20.0,0,11,4,36.4,0.55,0.2,0.0,0.0,20.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,shooting
GER-Bundesliga,2024,Augsburg,Mads Pedersen,DEN,DF,28-222,1996.0,2.6,0,2,0,0.0,0.77,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Marius Wolf,GER,DF,29-319,1995.0,20.2,1,11,2,18.2,0.54,0.1,0.09,0.5,17.8,1,0,0,0.7,0.7,0.06,0.3,0.3,shooting
GER-Bundesliga,2024,Augsburg,Maximilian Bauer,GER,DF,25-061,2000.0,7.3,0,1,1,100.0,0.14,0.14,0.0,0.0,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,shooting
GER-Bundesliga,2024,Augsburg,Mergim Berisha,GER,FW,26-335,1998.0,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,15.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Mert Kömür,GER,MF,19-268,2005.0,4.0,1,7,4,57.1,1.75,1.0,0.14,0.25,21.8,0,0,0,0.4,0.4,0.06,0.6,0.6,shooting
GER-Bundesliga,2024,Augsburg,Nediljko Labrović,CRO,GK,25-183,1999.0,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Augsburg,Niklas Dorsch,GER,MF,27-086,1998.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Augsburg,Noahkai Banks,USA,DF,18-131,2006.0,3.1,0,1,0,0.0,0.32,0.0,0.0,,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Phillip Tietz,GER,FW,27-276,1997.0,16.5,6,40,13,32.5,2.42,0.79,0.13,0.38,16.9,2,1,1,5.1,4.3,0.11,0.9,0.7,shooting
GER-Bundesliga,2024,Augsburg,Robert Gumny,POL,DF,26-311,1998.0,1.6,0,2,2,100.0,1.22,1.22,0.0,0.0,16.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,shooting
GER-Bundesliga,2024,Augsburg,Ruben Vargas,SUI,"MF,FW",26-249,1998.0,3.4,0,9,1,11.1,2.66,0.3,0.0,0.0,16.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,shooting
GER-Bundesliga,2024,Augsburg,Samuel Essende,COD,FW,27-078,1998.0,15.3,6,35,12,34.3,2.29,0.79,0.17,0.5,14.2,0,0,0,3.2,3.2,0.09,2.8,2.8,shooting
GER-Bundesliga,2024,Augsburg,Steve Mounié,BEN,"FW,MF",30-194,1994.0,3.3,0,17,4,23.5,5.12,1.2,0.0,0.0,11.1,0,0,0,1.9,1.9,0.11,-1.9,-1.9,shooting
GER-Bundesliga,2024,Augsburg,Tim Breithaupt,GER,MF,23-063,2002.0,1.3,0,1,0,0.0,0.75,0.0,0.0,,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
GER-Bundesliga,2024,Augsburg,Yusuf Kabadayı,GER,"FW,MF",21-068,2004.0,0.8,1,4,1,25.0,5.07,1.27,0.25,1.0,19.7,0,0,0,0.6,0.6,0.16,0.4,0.4,shooting
GER-Bundesliga,2024,Bayern Munich,Adam Aznou,MAR,DF,18-313,2006.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Aleksandar Pavlovic,GER,MF,20-343,2004.0,11.6,1,7,3,42.9,0.61,0.26,0.14,0.33,20.9,0,0,0,0.4,0.4,0.06,0.6,0.6,shooting
GER-Bundesliga,2024,Bayern Munich,Alphonso Davies,CAN,DF,24-160,2000.0,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,18.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,shooting
GER-Bundesliga,2024,Bayern Munich,Arijon Ibrahimović,GER,FW,19-121,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Daniel Peretz,ISR,GK,24-275,2000.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Dayot Upamecano,FRA,DF,26-166,1998.0,19.5,2,13,6,46.2,0.67,0.31,0.15,0.33,11.1,0,0,0,1.2,1.2,0.09,0.8,0.8,shooting
GER-Bundesliga,2024,Bayern Munich,Eric Dier,ENG,DF,31-086,1994.0,10.3,0,6,3,50.0,0.58,0.29,0.0,0.0,6.2,0,0,0,0.8,0.8,0.13,-0.8,-0.8,shooting
GER-Bundesliga,2024,Bayern Munich,Gabriel Vidovic,CRO,MF,21-131,2003.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Harry Kane,ENG,FW,31-257,1993.0,22.5,23,86,36,41.9,3.83,1.6,0.16,0.39,16.9,6,9,9,17.9,10.9,0.13,5.1,3.1,shooting
GER-Bundesliga,2024,Bayern Munich,Hiroki Ito,JPN,DF,25-334,1999.0,2.8,1,1,1,100.0,0.36,0.36,1.0,1.0,5.2,0,0,0,0.4,0.4,0.36,0.6,0.6,shooting
GER-Bundesliga,2024,Bayern Munich,Jamal Musiala,GER,MF,22-044,2003.0,20.0,12,68,31,45.6,3.4,1.55,0.18,0.39,15.1,0,0,0,9.3,9.3,0.14,2.7,2.7,shooting
GER-Bundesliga,2024,Bayern Munich,Jonas Urbig,GER,GK,21-246,2003.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,Joshua Kimmich,GER,MF,30-062,1995.0,25.6,1,26,7,26.9,1.01,0.27,0.04,0.14,23.8,4,0,0,1.4,1.4,0.05,-0.4,-0.4,shooting
GER-Bundesliga,2024,Bayern Munich,Josip Stanišić,CRO,DF,25-009,2000.0,4.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Bayern Munich,João Palhinha,POR,MF,29-276,1995.0,7.3,0,10,3,30.0,1.37,0.41,0.0,0.0,15.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,shooting
GER-Bundesliga,2024,Bayern Munich,Kim Min-jae,KOR,DF,28-147,1996.0,24.3,2,7,5,71.4,0.29,0.21,0.29,0.4,6.0,0,0,0,1.6,1.6,0.23,0.4,0.4,shooting
GER-Bundesliga,2024,Bayern Munich,Kingsley Coman,FRA,FW,28-302,1996.0,11.5,4,38,15,39.5,3.29,1.3,0.11,0.27,16.8,0,0,0,3.8,3.8,0.1,0.2,0.2,shooting
GER-Bundesliga,2024,Bayern Munich,Konrad Laimer,AUT,DF,27-319,1997.0,13.6,1,10,4,40.0,0.73,0.29,0.1,0.25,17.8,0,0,0,1.3,1.3,0.13,-0.3,-0.3,shooting
GER-Bundesliga,2024,Bayern Munich,Leon Goretzka,GER,MF,30-064,1995.0,12.4,4,26,9,34.6,2.1,0.73,0.15,0.44,20.2,0,0,0,2.5,2.5,0.1,1.5,1.5,shooting
GER-Bundesliga,2024,Bayern Munich,Leroy Sané,GER,FW,29-090,1996.0,14.6,9,54,20,37.0,3.7,1.37,0.17,0.45,16.5,2,0,0,8.7,8.7,0.16,0.3,0.3,shooting
