league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
GER-Bundesliga,2024,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26-309,1998,22,19,1642,18.2,9,1,10,9,0,0,4,0,3.4,3.4,1.0,4.3,47,43,78,0.49,0.05,0.55,0.49,0.55,0.18,0.05,0.24,0.18,0.24,standard
GER-Bundesliga,2024,Augsburg,Arne Engels,BEL,"MF,FW",21-215,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,standard
GER-Bundesliga,2024,Augsburg,Arne Maier,GER,MF,26-093,1999,24,7,826,9.2,0,0,0,0,0,0,0,0,1.3,1.3,1.4,2.7,14,33,43,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.29,0.14,0.29,standard
GER-Bundesliga,2024,Augsburg,Cedric Zesiger,SUI,DF,26-291,1998,10,10,820,9.1,0,2,2,0,0,0,6,1,0.2,0.2,0.8,1.0,4,25,4,0.0,0.22,0.22,0.0,0.22,0.02,0.09,0.11,0.02,0.11,standard
GER-Bundesliga,2024,Augsburg,Chrislain Matsima,FRA,DF,22-331,2002,24,22,2011,22.3,1,0,1,1,0,0,4,0,1.4,1.4,0.1,1.5,11,66,9,0.04,0.0,0.04,0.04,0.04,0.06,0.0,0.07,0.06,0.07,standard
GER-Bundesliga,2024,Augsburg,Dimitris Giannoulis,GRE,DF,29-176,1995,25,25,2145,23.8,1,4,5,1,0,0,7,0,1.1,1.1,3.2,4.3,42,83,114,0.04,0.17,0.21,0.04,0.21,0.05,0.13,0.18,0.05,0.18,standard
GER-Bundesliga,2024,Augsburg,Elvis Rexhbeçaj,KVX,MF,27-161,1997,22,21,1662,18.5,1,1,2,1,0,0,8,0,1.3,1.3,0.8,2.0,27,87,72,0.05,0.05,0.11,0.05,0.11,0.07,0.04,0.11,0.07,0.11,standard
GER-Bundesliga,2024,Augsburg,Finn Dahmen,GER,GK,27-015,1998,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Augsburg,Frank Onyeka,NGA,MF,27-100,1998,25,24,2078,23.1,0,1,1,0,0,0,7,0,1.4,1.4,1.1,2.4,35,77,58,0.0,0.04,0.04,0.0,0.04,0.06,0.05,0.11,0.06,0.11,standard
