league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",24,1995,7.5,0,0,0,17,20,2,15,3,13,0,0,0,44,8,12,40.0,misc
ITA-Serie A,2020,Atalanta,Amad Diallo,CIV,MF,18,2002,0.2,1,0,0,1,2,0,0,0,0,0,0,0,2,1,0,100.0,misc
ITA-Serie A,2020,Atalanta,Berat Djimsiti,ALB,DF,27,1993,29.2,8,0,0,31,26,1,9,62,29,0,0,0,192,76,31,71.0,misc
ITA-Serie A,2020,Atalanta,Bosko Sutalo,CRO,DF,20,2000,2.6,0,0,0,2,4,0,3,2,5,0,0,0,21,12,8,60.0,misc
ITA-Serie A,2020,Atalanta,Cristian Romero,ARG,DF,22,1998,28.3,10,0,0,70,32,0,0,96,32,1,0,0,237,112,50,69.1,misc
ITA-Serie A,2020,Atalanta,Cristiano Piccini,ITA,DF,27,1992,0.7,0,0,0,1,1,0,0,0,1,0,0,0,3,1,0,100.0,misc
ITA-Serie A,2020,Atalanta,Davide Angelo Ghislandi,ITA,DF,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2020,Atalanta,Duván Zapata,COL,FW,29,1991,26.4,0,0,0,29,49,21,48,6,5,1,0,0,69,48,52,48.0,misc
ITA-Serie A,2020,Atalanta,Fabio Depaoli,ITA,DF,23,1997,2.1,0,0,0,5,1,0,1,3,2,0,0,0,9,2,3,40.0,misc
ITA-Serie A,2020,Atalanta,Hans Hateboer,NED,DF,26,1994,19.6,3,0,0,20,8,3,24,17,17,0,1,0,65,23,20,53.5,misc
ITA-Serie A,2020,Atalanta,Joakim Mæhle,DEN,DF,23,1997,13.5,0,0,0,10,11,0,36,11,10,0,1,0,74,7,12,36.8,misc
ITA-Serie A,2020,Atalanta,Johan Mojica,COL,DF,27,1992,3.3,1,0,0,4,1,0,20,7,4,0,1,0,32,5,4,55.6,misc
ITA-Serie A,2020,Atalanta,Josip Iličić,SVN,"MF,FW",32,1988,17.0,2,0,0,22,71,8,97,2,4,2,0,0,75,0,18,0.0,misc
ITA-Serie A,2020,Atalanta,José Luis Palomino,ARG,DF,30,1990,27.0,3,0,0,48,16,2,14,79,33,0,1,0,222,59,45,56.7,misc
ITA-Serie A,2020,Atalanta,Luis Muriel,COL,FW,29,1991,16.0,0,0,0,18,20,3,82,7,9,1,0,0,51,25,47,34.7,misc
ITA-Serie A,2020,Atalanta,Manu Gyabuaa,ITA,MF,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Atalanta,Marco Sportiello,ITA,GK,28,1992,14.0,0,0,0,0,1,0,0,2,2,0,0,0,29,5,1,83.3,misc
ITA-Serie A,2020,Atalanta,Mario Pašalić,CRO,MF,25,1995,12.5,2,0,0,19,10,1,6,8,15,0,0,0,85,16,16,50.0,misc
ITA-Serie A,2020,Atalanta,Marten de Roon,NED,MF,29,1991,33.6,8,1,0,65,23,0,16,69,48,0,0,0,258,65,44,59.6,misc
ITA-Serie A,2020,Atalanta,Matteo Pessina,ITA,MF,23,1997,18.3,2,0,0,24,23,1,17,17,7,0,0,0,138,20,24,45.5,misc
