league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ITA-Serie A,2021,Atalanta,Amad Diallo,CIV,MF,18,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Atalanta,Berat Djimsiti,ALB,DF,27,1993,29.2,41,29,27,12,2,17,34,50.0,17,34,20,14,62,103,89,1,defense
ITA-Serie A,2021,Atalanta,Bosko Sutalo,CRO,DF,20,2000,2.6,5,5,0,3,2,4,5,80.0,1,2,1,1,2,7,7,1,defense
ITA-Serie A,2021,Atalanta,Cristian Romero,ARG,DF,22,1998,28.3,63,32,41,19,3,27,49,55.1,22,31,13,18,96,159,71,2,defense
ITA-Serie A,2021,Atalanta,Cristiano Piccini,ITA,DF,27,1992,0.7,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,defense
ITA-Serie A,2021,Atalanta,Davide Angelo Ghislandi,ITA,DF,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ITA-Serie A,2021,Atalanta,Duván Zapata,COL,FW,29,1991,26.4,12,5,2,3,7,4,13,30.8,9,19,5,14,6,18,19,0,defense
ITA-Serie A,2021,Atalanta,Fabio Depaoli,ITA,DF,23,1997,2.1,3,2,0,1,2,1,2,50.0,1,4,0,4,3,6,2,0,defense
ITA-Serie A,2021,Atalanta,Hans Hateboer,NED,DF,26,1994,19.6,28,17,12,14,2,13,23,56.5,10,8,1,7,17,45,9,0,defense
ITA-Serie A,2021,Atalanta,Joakim Mæhle,DEN,DF,23,1997,13.5,18,10,7,5,6,8,19,42.1,11,17,2,15,11,29,5,0,defense
ITA-Serie A,2021,Atalanta,Johan Mojica,COL,DF,27,1992,3.3,4,4,3,1,0,2,3,66.7,1,3,0,3,7,11,6,0,defense
ITA-Serie A,2021,Atalanta,Josip Iličić,SVN,"MF,FW",32,1988,17.0,9,4,1,5,3,5,21,23.8,16,12,0,12,2,11,0,1,defense
ITA-Serie A,2021,Atalanta,José Luis Palomino,ARG,DF,30,1990,27.0,67,33,41,19,7,24,48,50.0,24,30,16,14,79,146,60,2,defense
ITA-Serie A,2021,Atalanta,Luis Muriel,COL,FW,29,1991,16.0,20,9,4,8,8,9,26,34.6,17,17,0,17,7,27,4,0,defense
ITA-Serie A,2021,Atalanta,Manu Gyabuaa,ITA,MF,18,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Atalanta,Marco Sportiello,ITA,GK,28,1992,14.0,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,5,1,defense
ITA-Serie A,2021,Atalanta,Mario Pašalić,CRO,MF,25,1995,12.5,26,15,5,17,4,12,19,63.2,7,12,1,11,8,34,6,0,defense
ITA-Serie A,2021,Atalanta,Marten de Roon,NED,MF,29,1991,33.6,80,48,30,36,14,36,84,42.9,48,44,9,35,69,149,40,0,defense
ITA-Serie A,2021,Atalanta,Matteo Pessina,ITA,MF,23,1997,18.3,14,7,4,6,4,7,24,29.2,17,17,2,15,17,31,7,1,defense
ITA-Serie A,2021,Atalanta,Matteo Ruggeri,ITA,DF,18,2002,2.3,3,0,1,2,0,2,3,66.7,1,2,0,2,4,7,2,0,defense
ITA-Serie A,2021,Atalanta,Mattia Caldara,ITA,DF,26,1994,1.2,1,0,0,1,0,1,1,100.0,0,3,2,1,4,5,3,0,defense
