league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ITA-Serie A,2021,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",24,1995,7.5,316,408,77.5,4745,1061,169,198,85.4,111,135,82.2,23,39,59.0,2,1.7,1.6,0.3,14,26,21,3,47,passing
ITA-Serie A,2021,Atalanta,Amad Diallo,CIV,MF,18,2002,0.2,9,10,90.0,159,63,5,5,100.0,3,4,75.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,1,0,3,passing
ITA-Serie A,2021,Atalanta,Berat Djimsiti,ALB,DF,27,1993,29.2,1568,1798,87.2,25553,8946,777,845,92.0,634,706,89.8,113,166,68.1,3,2.3,2.5,0.7,21,135,23,2,150,passing
ITA-Serie A,2021,Atalanta,Bosko Sutalo,CRO,DF,20,2000,2.6,128,165,77.6,1813,671,82,97,84.5,36,47,76.6,7,8,87.5,0,0.1,0.3,-0.1,2,7,0,0,10,passing
ITA-Serie A,2021,Atalanta,Cristian Romero,ARG,DF,22,1998,28.3,1134,1315,86.2,21761,7481,372,441,84.4,631,677,93.2,117,146,80.1,2,0.8,0.4,1.2,9,54,7,0,71,passing
ITA-Serie A,2021,Atalanta,Cristiano Piccini,ITA,DF,27,1992,0.7,14,18,77.8,193,74,7,8,87.5,3,3,100.0,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,2,passing
ITA-Serie A,2021,Atalanta,Davide Angelo Ghislandi,ITA,DF,19,2001,0.1,3,3,100.0,51,9,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,passing
ITA-Serie A,2021,Atalanta,Duván Zapata,COL,FW,29,1991,26.4,614,817,75.2,8101,976,394,465,84.7,163,210,77.6,25,43,58.1,9,5.4,5.4,3.6,42,16,23,3,48,passing
ITA-Serie A,2021,Atalanta,Fabio Depaoli,ITA,DF,23,1997,2.1,81,99,81.8,1070,445,51,56,91.1,22,26,84.6,3,6,50.0,0,0.2,0.1,-0.2,3,4,0,0,8,passing
ITA-Serie A,2021,Atalanta,Hans Hateboer,NED,DF,26,1994,19.6,857,992,86.4,12183,4072,523,569,91.9,268,314,85.4,38,53,71.7,1,1.8,1.7,-0.8,20,51,19,11,78,passing
ITA-Serie A,2021,Atalanta,Joakim Mæhle,DEN,DF,23,1997,13.5,583,738,79.0,8252,3497,359,415,86.5,185,239,77.4,20,40,50.0,2,1.4,1.7,0.6,14,37,18,8,63,passing
ITA-Serie A,2021,Atalanta,Johan Mojica,COL,DF,27,1992,3.3,178,222,80.2,2773,822,93,108,86.1,73,86,84.9,10,17,58.8,0,0.4,0.6,-0.4,4,13,5,3,13,passing
ITA-Serie A,2021,Atalanta,Josip Iličić,SVN,"MF,FW",32,1988,17.0,729,1009,72.2,12576,4094,362,434,83.4,247,324,76.2,92,170,54.1,9,10.2,6.9,-1.2,61,83,70,12,144,passing
ITA-Serie A,2021,Atalanta,José Luis Palomino,ARG,DF,30,1990,27.0,1273,1554,81.9,23856,8941,462,523,88.3,655,739,88.6,134,242,55.4,2,0.8,0.6,1.2,9,93,2,0,136,passing
ITA-Serie A,2021,Atalanta,Luis Muriel,COL,FW,29,1991,16.0,496,717,69.2,7546,2047,275,337,81.6,155,212,73.1,42,98,42.9,7,4.5,4.1,2.5,47,35,39,3,83,passing
ITA-Serie A,2021,Atalanta,Manu Gyabuaa,ITA,MF,18,2001,0.0,1,1,100.0,14,10,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,passing
ITA-Serie A,2021,Atalanta,Marco Sportiello,ITA,GK,28,1992,14.0,315,376,83.8,8191,5344,64,64,100.0,160,160,100.0,89,149,59.7,0,0.0,0.0,0.0,0,2,0,0,0,passing
ITA-Serie A,2021,Atalanta,Mario Pašalić,CRO,MF,25,1995,12.5,576,674,85.5,9756,2378,283,319,88.7,227,257,88.3,49,62,79.0,2,2.5,1.4,-0.5,17,66,26,1,86,passing
ITA-Serie A,2021,Atalanta,Marten de Roon,NED,MF,29,1991,33.6,1865,2205,84.6,34012,11402,783,873,89.7,872,964,90.5,191,286,66.8,1,0.9,1.8,0.1,19,264,21,2,245,passing
ITA-Serie A,2021,Atalanta,Matteo Pessina,ITA,MF,23,1997,18.3,788,951,82.9,12328,3396,405,460,88.0,320,366,87.4,40,61,65.6,2,2.5,2.2,-0.5,27,83,26,1,118,passing
ITA-Serie A,2021,Atalanta,Matteo Ruggeri,ITA,DF,18,2002,2.3,94,119,79.0,1368,489,58,61,95.1,29,45,64.4,6,9,66.7,0,0.0,0.3,0.0,1,4,1,1,4,passing
ITA-Serie A,2021,Atalanta,Mattia Caldara,ITA,DF,26,1994,1.2,52,59,88.1,1106,329,13,15,86.7,29,29,100.0,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,4,passing
ITA-Serie A,2021,Atalanta,Papu Gómez,ARG,"MF,FW",32,1988,7.4,354,435,81.4,6441,1990,148,169,87.6,151,172,87.8,44,70,62.9,2,1.5,1.4,0.5,19,43,31,6,70,passing
ITA-Serie A,2021,Atalanta,Pierluigi Gollini,ITA,GK,25,1995,24.0,511,669,76.4,15171,10270,57,58,98.3,249,253,98.4,203,352,57.7,0,0.0,0.0,0.0,1,8,2,0,0,passing
ITA-Serie A,2021,Atalanta,Rafael Tolói,ITA,DF,29,1990,28.2,1394,1698,82.1,24390,8805,669,718,93.2,564,662,85.2,140,243,57.6,0,1.2,1.5,-1.2,15,160,18,5,157,passing
ITA-Serie A,2021,Atalanta,Remo Freuler,SUI,MF,28,1992,30.1,1876,2122,88.4,30938,10005,891,968,92.0,815,898,90.8,124,170,72.9,3,3.3,3.5,-0.3,30,254,41,5,242,passing
ITA-Serie A,2021,Atalanta,Robin Gosens,GER,DF,26,1994,28.0,1320,1638,80.6,19206,7040,802,913,87.8,431,523,82.4,51,104,49.0,6,3.6,3.9,2.4,29,96,35,12,134,passing
ITA-Serie A,2021,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",27,1993,20.8,840,1128,74.5,15502,5075,371,440,84.3,330,425,77.6,111,190,58.4,12,10.2,6.7,1.8,78,89,58,7,151,passing
ITA-Serie A,2021,Atalanta,Sam Lammers,NED,"FW,MF",23,1997,3.2,96,122,78.7,1166,181,64,79,81.0,23,27,85.2,1,3,33.3,0,0.4,0.2,-0.4,4,5,3,0,8,passing
ITA-Serie A,2021,Atalanta,Viktor Kovalenko,UKR,FW,24,1996,0.0,1,1,100.0,8,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
