league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Atalanta,Ademola Lookman,NGA,"FW,MF",24,1997,19.2,13,5,2,6,5,3,15,20.0,12,18,0,18,4,17,1,0,defense
ITA-Serie A,2022,Atalanta,Berat Djimsiti,ALB,DF,29,1993,20.0,34,19,21,13,0,17,25,68.0,8,17,7,10,36,70,74,1,defense
ITA-Serie A,2022,Atalanta,Brandon Soppy,FRA,DF,20,2002,7.1,8,5,4,4,0,3,9,33.3,6,10,0,10,3,11,7,0,defense
ITA-Serie A,2022,Atalanta,Caleb Okoli,ITA,DF,21,2001,10.7,21,17,14,6,1,10,25,40.0,15,10,5,5,30,51,44,3,defense
ITA-Serie A,2022,Atalanta,Davide Zappacosta,ITA,DF,30,1992,16.3,34,18,17,12,5,15,22,68.2,7,23,2,21,9,43,16,0,defense
ITA-Serie A,2022,Atalanta,Duván Zapata,COL,FW,31,1991,15.4,8,4,1,3,4,3,5,60.0,2,6,2,4,4,12,17,1,defense
ITA-Serie A,2022,Atalanta,Francesco Rossi,ITA,GK,31,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Atalanta,Giorgio Scalvini,ITA,DF,18,2003,25.9,54,29,30,18,6,29,55,52.7,26,36,13,23,56,110,57,2,defense
ITA-Serie A,2022,Atalanta,Hans Hateboer,NED,DF,28,1994,15.5,21,13,11,8,2,11,27,40.7,16,23,4,19,12,33,25,0,defense
ITA-Serie A,2022,Atalanta,Jeremie Boga,CIV,"MF,FW",25,1997,8.7,9,5,3,2,4,2,5,40.0,3,6,0,6,1,10,1,0,defense
ITA-Serie A,2022,Atalanta,Joakim Mæhle,DEN,"DF,MF",25,1997,24.5,32,18,12,7,13,22,39,56.4,17,29,6,23,24,56,26,0,defense
ITA-Serie A,2022,Atalanta,José Luis Palomino,ARG,DF,32,1990,8.4,23,14,16,7,0,11,19,57.9,8,11,4,7,28,51,20,0,defense
ITA-Serie A,2022,Atalanta,Juan Musso,ARG,GK,28,1994,23.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,11,1,defense
ITA-Serie A,2022,Atalanta,Luis Muriel,COL,"FW,MF",31,1991,11.9,9,6,2,3,4,5,16,31.3,11,9,0,9,2,11,2,0,defense
ITA-Serie A,2022,Atalanta,Lukáš Vorlický,CZE,"MF,FW",20,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
ITA-Serie A,2022,Atalanta,Marco Sportiello,ITA,GK,30,1992,14.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0,defense
ITA-Serie A,2022,Atalanta,Mario Pašalić,CRO,"MF,FW",27,1995,19.7,22,10,6,14,2,6,23,26.1,17,22,4,18,21,43,13,0,defense
ITA-Serie A,2022,Atalanta,Marten de Roon,NED,MF,31,1991,32.9,77,39,37,35,5,37,81,45.7,44,37,4,33,36,113,58,0,defense
ITA-Serie A,2022,Atalanta,Matteo Ruggeri,ITA,"DF,MF",20,2002,9.2,17,12,5,9,3,8,16,50.0,8,14,3,11,12,29,16,0,defense
ITA-Serie A,2022,Atalanta,Merih Demiral,TUR,DF,24,1998,17.1,41,29,30,11,0,26,36,72.2,10,24,7,17,24,65,57,1,defense
ITA-Serie A,2022,Atalanta,Nadir Zortea,ITA,"DF,MF",23,1999,2.5,10,5,3,7,0,3,4,75.0,1,4,0,4,0,10,4,0,defense
ITA-Serie A,2022,Atalanta,Rafael Tolói,ITA,DF,31,1990,30.9,69,44,37,32,0,35,64,54.7,29,42,18,24,57,126,88,1,defense
ITA-Serie A,2022,Atalanta,Rasmus Højlund,DEN,FW,19,2003,20.4,4,3,0,2,2,1,6,16.7,5,9,1,8,1,5,5,0,defense
ITA-Serie A,2022,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",29,1993,6.1,14,8,5,6,3,6,17,35.3,11,8,1,7,5,19,2,0,defense
ITA-Serie A,2022,Atalanta,Teun Koopmeiners,NED,MF,24,1998,31.8,46,26,15,24,7,28,55,50.9,27,41,5,36,19,65,36,2,defense
ITA-Serie A,2022,Atalanta,Tommaso De Nipoti,ITA,MF,19,2003,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,defense
ITA-Serie A,2022,Atalanta,Éderson,BRA,MF,23,1999,24.6,67,34,18,42,7,29,66,43.9,37,56,7,49,36,103,31,0,defense
ITA-Serie A,2022,Bologna,Adama Soumaoro,FRA,DF,30,1992,20.7,25,17,11,12,2,5,7,71.4,2,18,13,5,15,40,75,1,defense
ITA-Serie A,2022,Bologna,Andrea Cambiaso,ITA,DF,22,2000,24.1,57,34,34,20,3,28,65,43.1,37,26,2,24,26,83,33,1,defense
ITA-Serie A,2022,Bologna,Antonio Raimondo,ITA,FW,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ITA-Serie A,2022,Bologna,Charalambos Lykogiannis,GRE,DF,28,1993,12.3,16,8,5,6,5,5,13,38.5,8,9,4,5,15,31,30,0,defense
