league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ITA-Serie A,2023,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,1109,2,54,458,607,129,1109,87,39,44.8,37,42.5,699,4257,1972,72,42,35,66,42,866,222,possession
ITA-Serie A,2023,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,785,4,62,323,407,52,785,49,17,34.7,27,55.1,490,2993,1421,41,35,10,37,15,601,122,possession
ITA-Serie A,2023,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,1962,217,1054,823,96,26,1962,2,1,50.0,1,50.0,953,4836,2044,6,10,0,7,3,1167,10,possession
ITA-Serie A,2023,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,1098,10,60,442,612,133,1097,88,40,45.5,35,39.8,669,4241,2121,88,51,41,83,54,835,219,possession
ITA-Serie A,2023,Atalanta,Davide Zappacosta,ITA,DF,31,1992,20.7,1248,30,271,489,501,46,1248,42,17,40.5,23,54.8,680,3910,2001,67,33,14,27,15,820,132,possession
ITA-Serie A,2023,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,65,1,3,27,35,10,65,3,2,66.7,1,33.3,47,206,70,3,1,2,5,0,50,13,possession
ITA-Serie A,2023,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,179,2,6,56,117,21,179,14,3,21.4,9,64.3,128,1009,417,16,15,2,18,16,160,39,possession
ITA-Serie A,2023,Atalanta,Emil Holm,SWE,DF,23,2000,10.5,635,33,161,249,233,43,635,32,18,56.3,12,37.5,290,2133,1000,28,20,5,35,18,358,80,possession
ITA-Serie A,2023,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,2,2,2,0,0,0,2,0,0,,0,,1,12,12,0,0,0,0,0,0,0,possession
ITA-Serie A,2023,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,655,15,35,283,340,93,655,31,15,48.4,11,35.5,448,2109,629,22,21,5,72,48,565,167,possession
ITA-Serie A,2023,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,28.3,1864,129,790,879,209,41,1864,19,15,78.9,4,21.1,951,4341,2433,30,22,6,22,12,1174,33,possession
ITA-Serie A,2023,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,1.0,67,4,27,34,6,1,67,1,1,100.0,0,0.0,28,112,60,0,0,0,1,0,43,2,possession
ITA-Serie A,2023,Atalanta,Hans Hateboer,NED,DF,29,1994,12.4,714,32,174,297,245,22,714,11,6,54.5,4,36.4,352,1548,764,19,19,3,8,4,468,71,possession
ITA-Serie A,2023,Atalanta,Isak Hien,SWE,DF,24,1999,10.4,572,71,305,256,17,8,572,5,3,60.0,2,40.0,256,997,442,0,1,1,6,2,297,0,possession
ITA-Serie A,2023,Atalanta,José Luis Palomino,ARG,DF,33,1990,0.3,43,6,29,14,0,0,43,0,0,,0,,21,88,51,0,0,0,0,0,22,0,possession
ITA-Serie A,2023,Atalanta,Juan Musso,ARG,GK,29,1994,11.0,396,331,392,5,0,0,396,0,0,,0,,247,1394,921,0,0,0,2,0,191,0,possession
ITA-Serie A,2023,Atalanta,Leonardo Mendicino,ITA,MF,17,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession
ITA-Serie A,2023,Atalanta,Luis Muriel,COL,"FW,MF",32,1991,4.5,313,1,6,129,180,25,313,22,7,31.8,9,40.9,203,1292,645,19,16,5,14,18,254,57,possession
ITA-Serie A,2023,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,26.9,955,861,954,1,0,0,955,0,0,,0,,484,2512,1389,0,0,0,1,0,424,0,possession
ITA-Serie A,2023,Atalanta,Mario Pašalić,CRO,MF,28,1995,22.8,1350,55,298,752,310,57,1348,25,12,48.0,12,48.0,746,4239,2048,48,34,4,34,13,978,74,possession
ITA-Serie A,2023,Atalanta,Marten de Roon,NED,"MF,DF",32,1991,28.9,1981,99,589,1110,294,4,1981,9,3,33.3,5,55.6,1040,4998,2569,28,22,0,19,8,1307,22,possession
ITA-Serie A,2023,Atalanta,Matteo Ruggeri,ITA,DF,21,2002,27.2,1799,57,488,787,539,25,1799,41,21,51.2,16,39.0,862,4276,2186,55,40,5,29,10,1116,132,possession
ITA-Serie A,2023,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,1.2,99,4,14,58,29,4,99,2,2,100.0,0,0.0,57,332,151,3,3,1,6,2,78,16,possession
ITA-Serie A,2023,Atalanta,Mitchel Bakker,NED,DF,23,2000,4.2,255,6,70,116,77,10,255,12,7,58.3,4,33.3,139,807,457,12,8,2,10,3,151,20,possession
ITA-Serie A,2023,Atalanta,Nadir Zortea,ITA,DF,24,1999,1.7,119,1,20,51,50,5,119,14,5,35.7,7,50.0,73,448,246,7,9,1,2,2,81,22,possession
ITA-Serie A,2023,Atalanta,Rafael Tolói,ITA,DF,32,1990,10.7,630,42,249,306,77,4,630,8,4,50.0,4,50.0,339,1370,739,8,13,0,5,4,386,10,possession
ITA-Serie A,2023,Atalanta,Sead Kolašinac,BIH,DF,30,1993,24.2,1472,75,607,716,161,27,1472,9,7,77.8,0,0.0,749,3441,1917,32,24,5,19,9,926,30,possession
ITA-Serie A,2023,Atalanta,Teun Koopmeiners,NED,MF,25,1998,29.2,1742,52,266,838,659,85,1740,50,19,38.0,29,58.0,942,5359,2942,79,54,21,60,43,1224,190,possession
ITA-Serie A,2023,Atalanta,Éderson,BRA,MF,24,1999,31.9,2027,80,508,1159,385,41,2027,42,22,52.4,18,42.9,1198,5502,2448,32,26,7,33,36,1373,50,possession
ITA-Serie A,2023,Bologna,Alexis Saelemaekers,BEL,"FW,MF",24,1999,21.0,1271,7,177,555,558,47,1271,106,40,37.7,58,54.7,818,4996,2370,65,49,17,49,25,945,180,possession
ITA-Serie A,2023,Bologna,Charalambos Lykogiannis,GRE,DF,29,1993,10.0,682,28,194,311,180,10,682,7,2,28.6,5,71.4,354,1964,1020,36,20,3,5,5,455,41,possession
ITA-Serie A,2023,Bologna,Dan Ndoye,SUI,"FW,MF",22,2000,19.7,872,19,127,346,423,74,872,93,34,36.6,43,46.2,593,4896,2713,88,56,30,57,26,646,173,possession
ITA-Serie A,2023,Bologna,Federico Ravaglia,ITA,GK,23,1999,5.9,218,195,214,4,0,0,218,1,1,100.0,0,0.0,132,579,320,0,0,0,1,0,123,0,possession
ITA-Serie A,2023,Bologna,Giovanni Fabbian,ITA,"MF,FW",20,2003,11.7,425,9,78,208,144,47,425,24,12,50.0,11,45.8,209,1275,491,11,10,5,22,13,290,41,possession
