league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,misc
ITA-Serie A,2024,Atalanta,Ben Godfrey,ENG,DF,27-086,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,misc
ITA-Serie A,2024,Atalanta,Berat Djimsiti,ALB,DF,32-051,1993,23.9,4,0,0,16,17,0,8,35,28,0,1,1,82,68,41,62.4,misc
ITA-Serie A,2024,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-032,2001,19.9,1,0,0,19,34,2,46,3,8,0,0,0,69,32,31,50.8,misc
ITA-Serie A,2024,Atalanta,Daniel Maldini,ITA,"FW,MF",23-182,2001,1.1,0,0,0,1,5,0,1,0,1,0,0,0,3,3,0,100.0,misc
ITA-Serie A,2024,Atalanta,Davide Zappacosta,ITA,DF,32-304,1992,18.2,1,0,0,13,14,5,78,10,14,0,0,0,66,5,10,33.3,misc
ITA-Serie A,2024,Atalanta,Federico Cassa,ITA,"MF,FW",19-069,2006,0.2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,,misc
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2024,Atalanta,Giorgio Scalvini,ITA,DF,21-121,2003,3.0,2,0,0,7,1,0,0,4,4,0,0,0,13,8,6,57.1,misc
ITA-Serie A,2024,Atalanta,Ibrahim Sulemana,GHA,MF,21-324,2003,1.4,1,0,0,2,2,0,0,0,2,0,0,0,7,4,2,66.7,misc
ITA-Serie A,2024,Atalanta,Isak Hien,SWE,DF,26-088,1999,20.9,8,0,0,28,14,0,1,22,26,0,0,0,116,54,37,59.3,misc
ITA-Serie A,2024,Atalanta,Juan Cuadrado,COL,"DF,MF",36-320,1988,7.6,1,0,0,4,20,0,40,5,8,0,0,0,25,10,2,83.3,misc
ITA-Serie A,2024,Atalanta,Juan Musso,ARG,GK,30-340,1994,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,misc
ITA-Serie A,2024,Atalanta,Lazar Samardzic,SRB,"MF,FW",23-046,2002,11.6,3,0,0,16,8,1,58,2,12,0,0,0,46,3,17,15.0,misc
ITA-Serie A,2024,Atalanta,Marco Brescianini,ITA,MF,25-081,2000,9.3,1,0,0,19,6,2,18,2,9,0,0,0,42,9,9,50.0,misc
ITA-Serie A,2024,Atalanta,Marco Carnesecchi,ITA,GK,24-284,2000,28.0,1,0,0,0,4,0,0,0,0,0,0,0,47,6,0,100.0,misc
ITA-Serie A,2024,Atalanta,Marco Palestra,ITA,DF,20-039,2005,1.2,0,0,0,1,6,0,9,0,4,0,0,0,2,1,1,50.0,misc
ITA-Serie A,2024,Atalanta,Mario Pašalić,CRO,MF,30-061,1995,17.7,1,0,0,15,8,1,4,12,14,0,0,0,96,26,21,55.3,misc
ITA-Serie A,2024,Atalanta,Marten de Roon,NED,"MF,DF",34-013,1991,28.0,5,0,0,41,18,1,25,37,38,0,0,0,122,36,26,58.1,misc
ITA-Serie A,2024,Atalanta,Mateo Retegui,ITA,FW,25-347,1999,19.9,2,0,0,19,25,4,12,2,7,2,0,0,51,37,50,42.5,misc
ITA-Serie A,2024,Atalanta,Matteo Ruggeri,ITA,DF,22-274,2002,17.0,2,0,0,11,5,2,70,15,21,0,0,0,111,21,11,65.6,misc
ITA-Serie A,2024,Atalanta,Mitchel Bakker,NED,MF,24-295,2000,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0,misc
ITA-Serie A,2024,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25-283,1999,4.0,4,0,0,9,17,0,4,1,0,0,0,0,11,4,5,44.4,misc
ITA-Serie A,2024,Atalanta,Odilon Kossounou,CIV,DF,24-097,2001,8.0,1,0,0,12,5,0,3,7,7,0,0,0,45,16,7,69.6,misc
ITA-Serie A,2024,Atalanta,Rafael Tolói,ITA,DF,34-183,1990,3.8,0,0,0,4,2,0,2,7,5,0,0,0,27,9,1,90.0,misc
ITA-Serie A,2024,Atalanta,Raoul Bellanova,ITA,DF,24-329,2000,21.2,3,0,0,14,30,0,129,16,13,0,0,0,92,21,19,52.5,misc
ITA-Serie A,2024,Atalanta,Rui Patrício,POR,GK,37-055,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,misc
ITA-Serie A,2024,Atalanta,Sead Kolašinac,BIH,DF,31-295,1993,20.7,7,0,0,38,19,3,10,22,25,0,0,1,132,33,25,56.9,misc
ITA-Serie A,2024,Atalanta,Stefan Posch,AUT,DF,27-332,1997,3.8,0,0,0,10,0,0,5,4,10,0,0,0,21,4,4,50.0,misc
ITA-Serie A,2024,Atalanta,Vanja Vlahović,SRB,"FW,MF",21-019,2004,0.7,0,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0.0,misc
ITA-Serie A,2024,Atalanta,Éderson,BRA,MF,25-278,1999,26.6,5,1,1,26,47,0,23,34,27,0,0,0,157,37,30,55.2,misc
ITA-Serie A,2024,Bologna,Benjamín Domínguez,ARG,FW,21-204,2003,10.9,0,0,0,6,27,3,9,4,5,0,0,0,54,0,17,0.0,misc
ITA-Serie A,2024,Bologna,Charalambos Lykogiannis,GRE,DF,31-171,1993,9.6,2,0,0,7,7,2,82,9,10,0,0,0,34,18,12,60.0,misc
ITA-Serie A,2024,Bologna,Dan Ndoye,SUI,FW,24-168,2000,20.0,2,0,0,19,82,9,41,8,15,1,0,0,81,12,14,46.2,misc
ITA-Serie A,2024,Bologna,Davide Calabria,ITA,DF,28-126,1996,4.9,2,0,0,5,4,0,11,0,6,0,0,0,27,6,6,50.0,misc
ITA-Serie A,2024,Bologna,Emil Holm,SWE,DF,24-333,2000,10.8,3,0,0,13,22,1,31,10,20,1,0,0,42,27,12,69.2,misc
ITA-Serie A,2024,Bologna,Estanis,ESP,FW,21-230,2003,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2024,Bologna,Federico Ravaglia,ITA,GK,25-151,1999,8.7,0,0,0,0,3,0,0,0,0,0,0,0,10,3,0,100.0,misc
ITA-Serie A,2024,Bologna,Giovanni Fabbian,ITA,MF,22-087,2003,9.8,2,0,0,19,20,1,7,2,6,0,0,0,28,18,29,38.3,misc
ITA-Serie A,2024,Bologna,Jens Odgaard,DEN,"MF,FW",26-011,1999,19.2,1,0,0,40,36,4,24,8,14,0,0,0,62,41,55,42.7,misc
ITA-Serie A,2024,Bologna,Jesper Karlsson,SWE,FW,26-260,1998,3.3,1,0,0,6,4,1,4,0,0,0,0,0,8,2,4,33.3,misc
ITA-Serie A,2024,Bologna,Jhon Lucumí,COL,DF,26-289,1998,22.9,5,1,0,18,9,0,3,19,20,0,1,0,141,34,31,52.3,misc
ITA-Serie A,2024,Bologna,Juan Miranda,ESP,DF,25-082,2000,20.6,3,0,0,20,24,1,180,20,17,0,0,0,80,29,29,50.0,misc
ITA-Serie A,2024,Bologna,Kacper Urbanski,POL,MF,20-216,2004,2.7,2,0,0,5,4,0,8,2,2,0,0,0,16,2,8,20.0,misc
ITA-Serie A,2024,Bologna,Lewis Ferguson,SCO,MF,25-230,1999,7.9,0,0,0,24,12,1,9,3,9,0,0,0,22,8,11,42.1,misc
ITA-Serie A,2024,Bologna,Lorenzo De Silvestri,ITA,DF,36-323,1988,8.5,1,0,0,16,6,0,13,7,6,0,0,0,19,10,12,45.5,misc
ITA-Serie A,2024,Bologna,Martin Erlic,CRO,DF,27-077,1998,3.2,0,0,0,5,7,0,0,2,0,1,0,0,9,9,8,52.9,misc
ITA-Serie A,2024,Bologna,Michel Aebischer,SUI,MF,28-095,1997,5.7,1,0,0,13,11,0,9,5,8,0,0,0,25,4,7,36.4,misc
ITA-Serie A,2024,Bologna,Nicolò Cambiaghi,ITA,FW,24-104,2000,3.6,0,0,0,6,16,0,23,2,4,1,0,0,14,3,5,37.5,misc
ITA-Serie A,2024,Bologna,Nicolò Casale,ITA,DF,27-056,1998,7.7,1,0,0,17,4,0,0,13,4,0,0,1,33,29,21,58.0,misc
ITA-Serie A,2024,Bologna,Nikola Moro,CRO,MF,27-030,1998,12.3,1,0,0,20,9,0,32,13,26,0,0,0,70,12,15,44.4,misc
