league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,0.1,14,0,3,10,1,0,14,0,0,,0,,8,25,12,0,0,0,0,0,13,0,possession
ITA-Serie A,2024,Atalanta,Ben Godfrey,ENG,DF,27-086,1998,0.3,12,0,2,9,1,1,12,0,0,,0,,6,11,2,0,0,0,1,0,8,1,possession
ITA-Serie A,2024,Atalanta,Berat Djimsiti,ALB,DF,32-051,1993,23.9,1628,101,670,797,165,36,1628,3,1,33.3,0,0.0,904,5004,2659,27,28,2,8,0,1073,33,possession
ITA-Serie A,2024,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-032,2001,19.9,1058,9,68,447,562,116,1058,78,38,48.7,34,43.6,728,4958,2644,91,61,36,47,44,861,182,possession
ITA-Serie A,2024,Atalanta,Daniel Maldini,ITA,"FW,MF",23-182,2001,1.1,50,1,4,18,28,8,50,9,3,33.3,5,55.6,41,267,94,4,4,3,2,1,43,9,possession
ITA-Serie A,2024,Atalanta,Davide Zappacosta,ITA,DF,32-304,1992,18.2,1116,31,229,431,466,40,1116,33,9,27.3,22,66.7,644,3448,1809,53,31,12,25,15,726,113,possession
ITA-Serie A,2024,Atalanta,Federico Cassa,ITA,"MF,FW",19-069,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2,possession
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,0.1,2,0,0,1,1,1,2,0,0,,0,,2,1,0,0,0,0,0,0,2,0,possession
ITA-Serie A,2024,Atalanta,Giorgio Scalvini,ITA,DF,21-121,2003,3.0,228,11,87,116,29,4,228,7,5,71.4,2,28.6,158,685,380,5,1,0,2,0,171,7,possession
ITA-Serie A,2024,Atalanta,Ibrahim Sulemana,GHA,MF,21-324,2003,1.4,123,1,14,90,19,0,123,1,0,0.0,0,0.0,94,568,262,0,5,0,4,2,97,1,possession
ITA-Serie A,2024,Atalanta,Isak Hien,SWE,DF,26-088,1999,20.9,1306,129,640,641,35,11,1306,9,5,55.6,2,22.2,723,3358,1443,5,7,1,20,9,781,1,possession
ITA-Serie A,2024,Atalanta,Juan Cuadrado,COL,"DF,MF",36-320,1988,7.6,579,13,103,237,243,36,579,34,16,47.1,10,29.4,366,1900,1136,36,32,14,12,9,402,71,possession
ITA-Serie A,2024,Atalanta,Juan Musso,ARG,GK,30-340,1994,1.0,35,30,35,0,0,0,35,0,0,,0,,12,91,48,0,0,0,0,0,10,0,possession
ITA-Serie A,2024,Atalanta,Lazar Samardzic,SRB,"MF,FW",23-046,2002,11.6,789,5,54,308,433,51,789,57,27,47.4,30,52.6,526,3369,1522,49,38,20,31,17,602,93,possession
ITA-Serie A,2024,Atalanta,Marco Brescianini,ITA,MF,25-081,2000,9.3,448,4,44,212,198,32,448,22,7,31.8,13,59.1,301,2033,1036,42,26,11,22,19,349,62,possession
ITA-Serie A,2024,Atalanta,Marco Carnesecchi,ITA,GK,24-284,2000,28.0,953,840,951,2,0,0,953,0,0,,0,,558,2871,1624,0,0,0,0,0,489,0,possession
ITA-Serie A,2024,Atalanta,Marco Palestra,ITA,DF,20-039,2005,1.2,87,3,18,34,35,8,87,6,1,16.7,3,50.0,57,355,239,7,2,3,2,0,60,9,possession
ITA-Serie A,2024,Atalanta,Mario Pašalić,CRO,MF,30-061,1995,17.7,1331,34,231,799,312,61,1330,15,4,26.7,10,66.7,885,4763,2329,35,39,6,21,20,1017,52,possession
ITA-Serie A,2024,Atalanta,Marten de Roon,NED,"MF,DF",34-013,1991,28.0,2104,61,493,1249,378,15,2104,10,3,30.0,6,60.0,1258,5597,3043,29,48,0,19,9,1476,28,possession
ITA-Serie A,2024,Atalanta,Mateo Retegui,ITA,FW,25-347,1999,19.9,664,15,23,279,367,131,660,22,6,27.3,11,50.0,430,1759,363,16,10,7,72,36,536,147,possession
ITA-Serie A,2024,Atalanta,Matteo Ruggeri,ITA,DF,22-274,2002,17.0,1276,39,311,552,422,12,1276,10,6,60.0,3,30.0,697,3503,1774,52,28,0,13,3,851,94,possession
ITA-Serie A,2024,Atalanta,Mitchel Bakker,NED,MF,24-295,2000,0.2,10,0,2,5,3,0,10,0,0,,0,,6,23,15,0,0,0,0,0,7,1,possession
ITA-Serie A,2024,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25-283,1999,4.0,153,0,3,62,90,25,153,16,6,37.5,7,43.8,118,584,237,7,6,5,18,14,147,33,possession
ITA-Serie A,2024,Atalanta,Odilon Kossounou,CIV,DF,24-097,2001,8.0,531,31,187,288,57,10,531,6,2,33.3,4,66.7,331,1629,877,11,5,4,8,3,362,9,possession
ITA-Serie A,2024,Atalanta,Rafael Tolói,ITA,DF,34-183,1990,3.8,276,13,80,150,50,2,276,1,1,100.0,0,0.0,171,748,404,5,6,0,5,2,190,5,possession
ITA-Serie A,2024,Atalanta,Raoul Bellanova,ITA,DF,24-329,2000,21.2,1202,38,267,465,481,39,1202,41,19,46.3,18,43.9,682,4211,2197,69,40,5,26,8,767,157,possession
ITA-Serie A,2024,Atalanta,Rui Patrício,POR,GK,37-055,1988,2.0,68,56,68,0,0,0,68,0,0,,0,,46,222,128,0,0,0,0,0,34,0,possession
ITA-Serie A,2024,Atalanta,Sead Kolašinac,BIH,DF,31-295,1993,20.7,1439,70,474,752,229,27,1439,15,3,20.0,12,80.0,868,4163,2779,52,52,2,17,15,993,47,possession
