league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2024,Atalanta,Ademola Lookman,NGA,"FW,MF",27-173,1997,19.7,13,67,28,41.8,3.4,1.42,0.18,0.43,14.4,0,1,1,9.2,8.4,0.13,3.8,3.6,shooting
ITA-Serie A,2024,Atalanta,Alberto Manzoni,ITA,MF,19-290,2005,0.1,0,1,0,0.0,15.0,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
ITA-Serie A,2024,Atalanta,Ben Godfrey,ENG,DF,27-086,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Berat Djimsiti,ALB,DF,32-051,1993,23.9,1,16,4,25.0,0.67,0.17,0.06,0.25,9.5,0,0,0,2.4,2.4,0.15,-1.4,-1.4,shooting
ITA-Serie A,2024,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24-032,2001,19.9,5,42,17,40.5,2.11,0.85,0.12,0.29,12.3,0,0,0,5.1,5.1,0.12,-0.1,-0.1,shooting
ITA-Serie A,2024,Atalanta,Daniel Maldini,ITA,"FW,MF",23-182,2001,1.1,0,3,1,33.3,2.7,0.9,0.0,0.0,16.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2024,Atalanta,Davide Zappacosta,ITA,DF,32-304,1992,18.2,4,32,10,31.3,1.76,0.55,0.13,0.4,19.2,0,0,0,1.9,1.9,0.06,2.1,2.1,shooting
ITA-Serie A,2024,Atalanta,Federico Cassa,ITA,"MF,FW",19-069,2006,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Gianluca Scamacca,ITA,FW,26-100,1999,0.1,0,1,1,100.0,15.0,15.0,0.0,0.0,9.5,0,0,0,0.1,0.1,0.09,-0.1,-0.1,shooting
ITA-Serie A,2024,Atalanta,Giorgio Scalvini,ITA,DF,21-121,2003,3.0,0,4,0,0.0,1.32,0.0,0.0,,18.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ITA-Serie A,2024,Atalanta,Ibrahim Sulemana,GHA,MF,21-324,2003,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Isak Hien,SWE,DF,26-088,1999,20.9,0,5,2,40.0,0.24,0.1,0.0,0.0,7.8,0,0,0,0.8,0.8,0.16,-0.8,-0.8,shooting
ITA-Serie A,2024,Atalanta,Juan Cuadrado,COL,"DF,MF",36-320,1988,7.6,0,15,4,26.7,1.97,0.53,0.0,0.0,16.5,0,0,0,0.8,0.7,0.05,-0.8,-0.7,shooting
ITA-Serie A,2024,Atalanta,Juan Musso,ARG,GK,30-340,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Lazar Samardzic,SRB,"MF,FW",23-046,2002,11.6,2,31,11,35.5,2.67,0.95,0.06,0.18,19.2,3,0,0,1.9,1.9,0.06,0.1,0.1,shooting
ITA-Serie A,2024,Atalanta,Marco Brescianini,ITA,MF,25-081,2000,9.3,3,17,7,41.2,1.82,0.75,0.18,0.43,13.1,0,0,0,2.9,2.9,0.17,0.1,0.1,shooting
ITA-Serie A,2024,Atalanta,Marco Carnesecchi,ITA,GK,24-284,2000,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Marco Palestra,ITA,DF,20-039,2005,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Mario Pašalić,CRO,MF,30-061,1995,17.7,2,42,8,19.0,2.38,0.45,0.05,0.25,13.8,0,0,1,5.8,5.0,0.12,-3.8,-3.0,shooting
ITA-Serie A,2024,Atalanta,Marten de Roon,NED,"MF,DF",34-013,1991,28.0,4,14,4,28.6,0.5,0.14,0.29,1.0,22.7,0,0,0,0.9,0.9,0.06,3.1,3.1,shooting
ITA-Serie A,2024,Atalanta,Mateo Retegui,ITA,FW,25-347,1999,19.9,22,75,27,36.0,3.76,1.35,0.25,0.7,12.9,2,3,4,14.4,11.2,0.15,7.6,7.8,shooting
ITA-Serie A,2024,Atalanta,Matteo Ruggeri,ITA,DF,22-274,2002,17.0,0,3,2,66.7,0.18,0.12,0.0,0.0,20.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,shooting
ITA-Serie A,2024,Atalanta,Mitchel Bakker,NED,MF,24-295,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25-283,1999,4.0,2,11,4,36.4,2.78,1.01,0.18,0.5,15.1,0,0,0,0.9,0.9,0.08,1.1,1.1,shooting
ITA-Serie A,2024,Atalanta,Odilon Kossounou,CIV,DF,24-097,2001,8.0,0,6,4,66.7,0.75,0.5,0.0,0.0,17.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,shooting
ITA-Serie A,2024,Atalanta,Rafael Tolói,ITA,DF,34-183,1990,3.8,0,2,0,0.0,0.52,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
