nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ENG,DF,27-185,1997,8.5,11,7,9,1,1,9,22,40.9,13,7,6,1,12,23,28,0,ENG-Premier League,2024,defense
ENG,"FW,MF",23-218,2001,14.9,23,13,6,10,7,10,20,50.0,10,16,0,16,2,25,7,0,ENG-Premier League,2024,defense
ESP,GK,29-208,1995,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,17,4,ENG-Premier League,2024,defense
ENG,MF,26-087,1999,26.0,46,19,20,20,6,15,35,42.9,20,21,10,11,22,68,40,0,ENG-Premier League,2024,defense
ENG,"FW,MF",18-021,2007,8.0,10,7,4,3,3,6,16,37.5,10,8,2,6,1,11,4,1,ENG-Premier League,2024,defense
BRA,FW,28-008,1997,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0,ENG-Premier League,2024,defense
BRA,DF,27-113,1997,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2,ENG-Premier League,2024,defense
BRA,"FW,MF",23-297,2001,18.9,19,14,7,5,7,6,20,30.0,14,10,0,10,3,22,14,0,ENG-Premier League,2024,defense
POL,DF,25-055,2000,5.5,8,3,6,2,0,6,9,66.7,3,6,3,3,1,9,24,2,ENG-Premier League,2024,defense
ITA,MF,33-112,1991,6.8,12,4,1,7,4,8,20,40.0,12,3,0,3,5,17,2,2,ENG-Premier League,2024,defense
NED,DF,23-298,2001,25.6,57,37,16,30,11,17,26,65.4,9,19,4,15,21,78,44,1,ENG-Premier League,2024,defense
GER,"FW,MF",25-304,1999,20.4,16,9,3,6,7,4,15,26.7,11,22,4,18,6,22,31,1,ENG-Premier League,2024,defense
SCO,"DF,FW",27-310,1997,1.1,3,2,1,1,1,1,3,33.3,2,0,0,0,1,4,2,0,ENG-Premier League,2024,defense
BEL,FW,30-128,1994,22.2,25,16,5,14,6,9,28,32.1,19,25,0,25,9,34,17,0,ENG-Premier League,2024,defense
NOR,MF,26-115,1998,20.4,18,10,8,7,3,4,23,17.4,19,4,0,4,3,21,4,0,ENG-Premier League,2024,defense
ESP,"MF,FW",28-293,1996,14.8,32,18,5,20,7,12,26,46.2,14,17,5,12,13,45,23,1,ENG-Premier League,2024,defense
ENG,DF,18-197,2006,10.3,21,14,10,9,2,9,9,100.0,0,1,0,1,5,26,16,0,ENG-Premier League,2024,defense
UKR,"DF,MF",28-117,1996,3.3,2,0,1,1,0,1,4,25.0,3,5,0,5,3,5,5,0,ENG-Premier League,2024,defense
ENG,"FW,MF",30-124,1994,3.9,7,4,1,2,4,4,6,66.7,2,2,0,2,1,8,2,0,ENG-Premier League,2024,defense
ENG,FW,25-122,1999,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,ENG-Premier League,2024,defense
ITA,DF,22-327,2002,10.3,26,18,15,9,2,18,29,62.1,11,12,6,6,9,35,25,0,ENG-Premier League,2024,defense
JPN,DF,26-157,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ENG-Premier League,2024,defense
GHA,"MF,DF",31-302,1993,25.3,79,48,23,36,20,43,67,64.2,24,21,6,15,29,108,41,4,ENG-Premier League,2024,defense
FRA,DF,24-018,2001,28.3,53,31,32,19,2,18,24,75.0,6,21,12,9,19,72,98,5,ENG-Premier League,2024,defense
BEL,MF,23-238,2001,13.0,39,22,18,18,3,12,22,54.5,10,13,6,7,20,59,27,3,ENG-Premier League,2024,defense
ESP,"DF,MF",22-063,2003,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,8,2,ENG-Premier League,2024,defense
FRA,DF,27-031,1998,5.1,6,4,5,1,0,1,3,33.3,2,4,1,3,5,11,18,0,ENG-Premier League,2024,defense
FRA,MF,25-139,1999,13.3,44,18,25,15,4,26,48,54.2,22,15,5,10,14,58,41,3,ENG-Premier League,2024,defense
BRA,DF,32-027,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,ENG-Premier League,2024,defense
NED,FW,26-092,1999,2.6,6,3,3,2,1,1,4,25.0,3,0,0,0,0,6,0,0,ENG-Premier League,2024,defense
ARG,"MF,FW",28-107,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,ENG-Premier League,2024,defense
ARG,GK,32-221,1992,29.0,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,14,6,ENG-Premier League,2024,defense
ENG,DF,27-170,1997,25.6,29,17,18,7,4,17,21,81.0,4,16,9,7,19,48,86,2,ENG-Premier League,2024,defense
NED,DF,23-032,2002,7.9,18,9,10,6,2,10,16,62.5,6,6,0,6,10,28,26,2,ENG-Premier League,2024,defense
ENG,"FW,MF",23-318,2001,14.9,24,13,12,9,3,8,16,50.0,8,19,3,16,7,31,7,1,ENG-Premier League,2024,defense
ENG,"FW,MF",23-062,2002,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1,ENG-Premier League,2024,defense
SCO,"MF,FW",30-175,1994,20.9,27,18,8,13,6,10,21,47.6,11,16,1,15,11,38,12,3,ENG-Premier League,2024,defense
COL,FW,21-119,2003,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0,ENG-Premier League,2024,defense
SRB,DF,19-116,2005,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0,ENG-Premier League,2024,defense
NED,"DF,MF",21-096,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,ENG-Premier League,2024,defense
JAM,"FW,MF",27-245,1997,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,ENG-Premier League,2024,defense
FRA,DF,31-265,1993,23.9,60,34,36,15,9,40,58,69.0,18,23,4,19,25,85,77,1,ENG-Premier League,2024,defense
ESP,"MF,FW",29-080,1996,3.4,3,2,0,3,0,2,6,33.3,4,1,0,1,1,4,2,0,ENG-Premier League,2024,defense
ENG,FW,27-162,1997,3.3,6,3,0,1,5,2,3,66.7,1,2,0,2,1,7,3,0,ENG-Premier League,2024,defense
POL,DF,27-247,1997,16.4,41,23,23,16,2,19,29,65.5,10,16,5,11,20,61,44,2,ENG-Premier League,2024,defense
ENG,"FW,MF",22-259,2002,27.9,32,16,11,12,9,16,36,44.4,20,22,5,17,5,37,18,2,ENG-Premier League,2024,defense
ENG,FW,29-102,1995,23.8,7,5,0,4,3,2,9,22.2,7,11,3,8,6,13,14,2,ENG-Premier League,2024,defense
ESP,DF,28-085,1997,18.2,20,14,11,7,2,9,15,60.0,6,14,10,4,9,29,58,2,ENG-Premier League,2024,defense
SWE,GK,35-093,1990,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,ENG-Premier League,2024,defense
ENG,MF,31-127,1993,6.2,13,3,4,9,0,9,13,69.2,4,9,3,6,9,22,5,0,ENG-Premier League,2024,defense
ENG,DF,32-029,1993,9.7,6,5,5,1,0,2,2,100.0,0,13,11,2,5,11,48,1,ENG-Premier League,2024,defense
BEL,MF,27-339,1997,29.4,75,50,28,40,7,36,66,54.5,30,35,15,20,21,96,41,3,ENG-Premier League,2024,defense
ENG,DF,33-347,1991,12.7,18,9,9,4,5,10,21,47.6,11,10,3,7,12,30,38,1,ENG-Premier League,2024,defense
ENG,MF,21-233,2003,5.6,23,11,10,7,6,16,29,55.2,13,11,1,10,9,32,8,0,ENG-Premier League,2024,defense
GHA,FW,25-094,2000,29.4,50,32,16,23,11,14,40,35.0,26,54,7,47,7,57,28,1,ENG-Premier League,2024,defense
ENG,"FW,MF",20-219,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,ENG-Premier League,2024,defense
BFA,FW,23-059,2002,18.7,31,23,11,11,9,16,36,44.4,20,30,8,22,8,39,42,0,ENG-Premier League,2024,defense
ENG,FW,21-241,2003,0.8,2,1,1,1,0,2,4,50.0,2,1,1,0,1,3,1,0,ENG-Premier League,2024,defense
WAL,"FW,MF",27-277,1997,8.8,11,4,2,6,3,1,13,7.7,12,16,2,14,5,16,7,1,ENG-Premier League,2024,defense
ESP,DF,19-362,2005,20.8,31,21,15,15,1,15,25,60.0,10,32,24,8,45,76,143,3,ENG-Premier League,2024,defense
TUR,"FW,MF",27-336,1997,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0,ENG-Premier League,2024,defense
BRA,FW,25-187,1999,19.1,11,6,4,4,3,5,9,55.6,4,8,1,7,0,11,14,0,ENG-Premier League,2024,defense
UKR,DF,22-222,2002,28.1,44,30,24,19,1,29,42,69.0,13,32,19,13,32,76,141,2,ENG-Premier League,2024,defense
ENG,DF,23-091,2002,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0,ENG-Premier League,2024,defense
MEX,DF,23-241,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0,ENG-Premier League,2024,defense
NED,"MF,FW",25-341,1999,21.5,20,9,4,10,6,4,19,21.1,15,20,0,20,13,33,22,1,ENG-Premier League,2024,defense
ESP,GK,30-190,1994,24.0,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,11,3,ENG-Premier League,2024,defense
ENG,"MF,DF",28-067,1997,28.6,70,39,36,32,2,33,61,54.1,28,26,8,18,39,109,57,0,ENG-Premier League,2024,defense
