nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
ENG,DF,27-185,1997,12,8,766,8.5,0,1,1,0,0,0,2,0,0.4,0.4,0.7,1.1,5,34,19,0.0,0.12,0.12,0.0,0.12,0.04,0.08,0.13,0.04,0.13,ENG-Premier League,2024,standard
ENG,"FW,MF",23-218,2001,18,16,1338,14.9,6,10,16,5,1,1,3,0,5.1,4.3,6.0,10.3,74,54,204,0.4,0.67,1.08,0.34,1.01,0.34,0.4,0.75,0.29,0.69,ENG-Premier League,2024,standard
ESP,GK,29-208,1995,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,MF,26-087,1999,29,27,2336,26.0,2,5,7,2,0,0,6,1,2.6,2.6,6.0,8.5,78,158,81,0.08,0.19,0.27,0.08,0.27,0.1,0.23,0.33,0.1,0.33,ENG-Premier League,2024,standard
ENG,"FW,MF",18-021,2007,21,9,716,8.0,3,2,5,3,0,0,1,0,0.9,0.9,1.0,1.9,40,27,90,0.38,0.25,0.63,0.38,0.63,0.12,0.13,0.24,0.12,0.24,ENG-Premier League,2024,standard
BRA,FW,28-008,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,ENG-Premier League,2024,standard
BRA,DF,27-113,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,ENG-Premier League,2024,standard
BRA,"FW,MF",23-297,2001,26,18,1704,18.9,6,4,10,6,0,0,1,0,4.9,4.9,4.3,9.2,102,40,223,0.32,0.21,0.53,0.32,0.53,0.26,0.23,0.48,0.26,0.48,ENG-Premier League,2024,standard
POL,DF,25-055,2000,10,3,492,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,17,0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,ENG-Premier League,2024,standard
